"SiteName","Watershed","visit","Gradient","LWfreq","Braid","Sinuosity","bfw","bfd","Q","cover","Ucut","D50","Bldr","Cbl","Gvl","Sndf","Planform","Threads","Bedform","Substrate","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD","RS","Condition","RScond"
"LRB_66576","Region 17",3415,1.893,NA,1,1.052,12.5,NA,0.77,NA,NA,176,NA,NA,NA,NA,"Straight","Single","Plane-Bed","cobble-gravel","PCV","fan controlled partly confined",NA,NA,NA,"FC","poor","FCpoor"
"CBW05583-241618","South Fork Salmon",2060,1,15.025,1,1.08,18.675,0.715,1.45,10.66,0.45,102,29.745,33.37,30.46,5.06,"Sinuous","Single","Plane-Bed","boulder-cobble-sand","PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154,"FC","poor","FCpoor"
"CBW05583-315823","Lemhi",1587,1,17.70494503,1,1.09,14.1,0.4,0.75,18.88,2.26,113,16.75,35.5,37.23,6.84,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA,"FC","poor","FCpoor"
"dsgn4-000092","Upper Grande Ronde",2141,1,13.45595049,1,1.06,6.495,0.23,0.00978,20.935,0.53,48,10.87,29.1,37.625,7.135,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_bed","good",NA,NA,"FC","poor","FCpoor"
"dsgn4-000277","Upper Grande Ronde",2028,1,7.41147406,1,1.05,15.87,0.41,0.6,6.35,0.23,68,9.42,34.56,39.36,12.3,"Sinuous","Single","Plane-Bed","cobble-gravel ","PCV","pcv_margin_controlled_dfp","moderate",NA,NA,"FC","poor","FCpoor"
"JDW00001-Upper Owens D","John Day",3637,1,1.049418219,1,1.07,3.695,0.245,0.105,22.52,NA,33.5,4.045,24.495,44.405,22.925,"Sinuous","Single","Plane-Bed","cobble-gravel-sand","PCV","pcv_planControlled_dfp","",724062,4940246,"FC","poor","FCpoor"
"CBW05583-189938","John Day",1164,2,17.05653021,1,1.09,6.12,0.22,0.08,11.1,1.9,63,5.42,42.43,37.61,4.8,"Sinuous","Single","Plane-Bed","cobble-gravel","CV","confined valley w/ occasional floodpockets",NA,NA,NA,"FC","poor","FCpoor"
"ENT00001-1G16","Entiat",2499,1,13.42765442,1,1.04,23.65,0.835,3.41,5.78,0.57,131.5,49.615,29.735,9.88,12.375,"Sinuous","Single","Plane-Bed","boulder-cobble","CV","cv_coarse_plane_bed","moderate",696496,5294233,"FC","poor","FCpoor"
"MNM00001-000444","Minam",2153,1,4.43,1,1.08,22.65,0.72,2.4,10.63,NA,175,22.12,56.1,15.06,6.32,"Sinuous","Single","Plane-Bed","boulder-cobble","CV","cv_occ_fpp","intact",458174,5012856,"FC","poor","FCpoor"
"YFI00001-000595","Yankee Fork",4182,1,6.49,1,1.04,14.21,0.66,0.63,10.8,NA,81,24.57,23.1,28.08,12.32,"Straight","Single","Plane-Bed","boulder-cobble-gravel","CV","cv-margin-controlled cobble bed",NA,NA,NA,"FC","poor","FCpoor"
