"RS","Condition","Bank","Cascade","Chute","Glide-Run","Margin Attached Bar","Mid Channel Bar","Pocket Pool","Pond","Pool","Rapid","Riffle","Transition"
"AF","good",0.0788823079049786,0.00949044044150486,0.0238616788243551,0.252222411263053,0.199522553752579,0.0356170647157653,0.002194664352098,0.0101231364709385,0.102385104527764,0.0232515790816869,0.0647129407605113,0.197736117904766
"AF","mod",0.109394904458599,0.00286624203821656,0.0181528662420382,0.381528662420382,0.174044585987261,0.018343949044586,0.00318471337579618,0.00644904458598726,0.0575636942675159,0.0203025477707006,0.0351592356687898,0.173009554140127
"AF","poor",0.123489361716911,NA,0.000974488606271109,0.410043150216521,0.164959265739337,0.0148830987139588,0.00303811153719816,0.000974488606271109,0.0716249125609265,0.0165663063066089,0.0289747945597943,0.164472021436202
"CV","good",0.114856020942408,0.0732984293193717,NA,0.0925229057591623,0.219159031413613,0.0220876963350785,0.0115346858638743,NA,0.0422120418848168,0.199280104712042,0.0269960732984293,0.198053010471204
"CV","mod",0.128061627600737,0.0752567816697393,NA,0.0962931261522254,0.192586252304451,0.00839478535686068,0.0110284435080327,NA,0.0355543850408217,0.232584935475375,0.0309454832762707,0.189294179615486
"CV","poor",0.128354956917896,0.0480340695256017,NA,0.107358621372685,0.191145884916312,0.00911161731207289,0.0103000891353867,NA,0.0312964246805982,0.247004060612063,0.0318906605922551,0.195503614935129
"FC","good",0.110447906051342,0.00970543989906342,0.014072887853642,0.240889018294754,0.192361818799437,0.0161110302324453,0.0031057407677003,0.00582326393943805,0.102101227738147,0.0497403794827001,0.0603678361721745,0.195273450769156
"FC","mod",0.112656125372538,0.00949349371116897,0.00569609622670138,0.341660290338626,0.175840600183541,0.0135099718197405,0.00458852196039834,0.0118668671389612,0.0699354036722781,0.0265817823912731,0.0475307585139193,0.180640088670854
"FC","poor",0.125334173191436,NA,0.00531747368729446,0.423024807552863,0.170247050120485,0.00604258373556189,0.00421882209901048,NA,0.0489559147739341,0.0319048421237668,0.0228812504119943,0.162073082303653
"PC","good",0.0778712129938947,0.00952969389785425,0.021600639501803,0.243687886816559,0.205228765014504,0.0354640751484433,0.00183263344189505,0.00857672450806882,0.11190583405766,0.0260478299874683,0.0661633033479595,0.192091401283891
"PC","mod",0.0889608691463152,0.00529911314409459,0.0139703891980675,0.259110574827607,0.211643367391414,0.0248576580213891,0.00254632709521428,0.0117543964287189,0.108551529860847,0.0162184978046531,0.0621441450534729,0.194943132028207
"PC","poor",0.128773684810766,NA,NA,0.410759380244057,0.160901937144626,0.00850453738249238,0.00299776796624253,NA,0.0686879877482527,0.0169439058961534,0.0303849850926213,0.172045813714788
"WA","good",0.0694422474611661,NA,0.0244866968268531,0.260685247872441,0.182542946629125,0.0680186022968142,0.00174001075643013,0.00189819355246923,0.102977000221456,0.0559967097978424,0.0609003764750546,0.171311968110348
"WA","mod",0.0940457360392483,0.00965121578509959,0.00434304710329482,0.269697863328061,0.213720811774483,0.0209109675343825,0.00458432749792231,0.00193024315701992,0.102731830245838,0.0250931610412589,0.05351062974183,0.199780166751562
"WA","poor",0.125622328999897,NA,0.000981424445311696,0.422380545651021,0.164879306812365,0.00926900865016601,0.00274798844687275,0.000981424445311696,0.0757536993724965,0.00834210778514941,0.0277818612211311,0.161260304170278
