"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","good","Bank","area.mean",51.5367058823529,52.700069958166,36.129,6.284,197.307,17
"AF","good","Bank","area.med",23.4088235294118,18.6173558582956,22.26,4.47,80.835,17
"AF","good","Bank","area.ratio",0.0831176470588235,0.0226519379770837,0.075,0.051,0.137,17
"AF","good","Bank","area.sd",68.0088823529412,90.7696645539428,32.053,3.58,340.193,17
"AF","good","Bank","area.sum",614.002,645.21961420502,292.43,93.7,2048.001,17
"AF","good","Bank","n",13.7647058823529,6.75952487018047,15,3,26,17
"AF","good","Bank","perim.area.ratio",3.37347058823529,1.44695655245964,3.569,1.27,6.062,17
"AF","good","Bank","perim.mean",115.250058823529,63.2416074871506,117.066,31.073,250.657,17
"AF","good","Bank","perim.med",63.741,29.5354253757247,60.6,25.801,129.8,17
"AF","good","Bank","perim.sd",124.832529411765,103.734790273151,104.641,19.844,384.619,17
"AF","good","Bank","perim.sum",1387.43652941176,907.738008464248,992.4,412.999,3464.522,17
"AF","good","Cascade","area.mean",9.42,NA,9.42,9.42,9.42,1
"AF","good","Cascade","area.med",9.42,NA,9.42,9.42,9.42,1
"AF","good","Cascade","area.ratio",0.01,NA,0.01,0.01,0.01,1
"AF","good","Cascade","area.sd",NA,NA,NA,Inf,-Inf,0
"AF","good","Cascade","area.sum",9.42,NA,9.42,9.42,9.42,1
"AF","good","Cascade","n",1,NA,1,1,1,1
"AF","good","Cascade","perim.area.ratio",5.244,NA,5.244,5.244,5.244,1
"AF","good","Cascade","perim.mean",49.4,NA,49.4,49.4,49.4,1
"AF","good","Cascade","perim.med",49.4,NA,49.4,49.4,49.4,1
"AF","good","Cascade","perim.sd",NA,NA,NA,Inf,-Inf,0
"AF","good","Cascade","perim.sum",49.4,NA,49.4,49.4,49.4,1
"AF","good","Chute","area.mean",41.5804285714286,38.5178390569752,25.14,8.756,112.757,7
"AF","good","Chute","area.med",30.2095714285714,27.6761086429983,25.14,0.002,68.48,7
"AF","good","Chute","area.ratio",0.0251428571428571,0.0214276190264541,0.014,0.002,0.053,7
"AF","good","Chute","area.sd",43.801,48.5214817539613,25.026,0.643,132.314,6
"AF","good","Chute","area.sum",280.928571428571,439.850912551763,101.47,25.14,1240.33,7
"AF","good","Chute","n",8,10.770329614269,2,1,31,7
"AF","good","Chute","perim.area.ratio",2.32228571428571,1.30386345326568,1.83,1.347,5.147,7
"AF","good","Chute","perim.mean",73.9745714285714,48.4727003506687,67.4,21.738,151.854,7
"AF","good","Chute","perim.med",60.8997142857143,46.9366545985625,67.4,0.262,106.401,7
"AF","good","Chute","perim.sd",51.5513333333333,48.0415960462042,42.2885,0.707,120.785,6
"AF","good","Chute","perim.sum",442.768285714286,577.928213301247,203.8,46,1670.396,7
"AF","good","Glide-Run","area.mean",307.810117647059,279.634650754534,209.186,16.386,955.937,17
"AF","good","Glide-Run","area.med",190.335823529412,169.240361225254,132.645,14.57,544.6,17
"AF","good","Glide-Run","area.ratio",0.265764705882353,0.0700977259008492,0.254,0.189,0.42,17
"AF","good","Glide-Run","area.sd",336.725352941176,315.352993485661,234.916,13.273,999.468,17
"AF","good","Glide-Run","area.sum",2087.90370588235,2061.66275205612,985.886,163.861,6459.619,17
"AF","good","Glide-Run","n",6.94117647058824,2.81670437380492,6,2,12,17
"AF","good","Glide-Run","perim.area.ratio",1.40517647058824,0.876825897434471,1.19,0.581,3.799,17
"AF","good","Glide-Run","perim.mean",276.224941176471,159.496088302531,212.674,62.258,576.908,17
"AF","good","Glide-Run","perim.med",224.109529411765,138.580849088681,197,56.4,468.1,17
"AF","good","Glide-Run","perim.sd",231.493764705882,149.910234220153,192.873,41.9,565.696,17
"AF","good","Glide-Run","perim.sum",1824.04888235294,1218.13871852936,1331.571,483.201,4165.564,17
"AF","good","Margin Attached Bar","area.mean",215.868647058824,372.384396815801,50.035,8.383,1396.162,17
"AF","good","Margin Attached Bar","area.med",119.932294117647,217.222451536082,31.5,3.55,716.8,17
"AF","good","Margin Attached Bar","area.ratio",0.210235294117647,0.0560675144488374,0.215,0.111,0.316,17
"AF","good","Margin Attached Bar","area.sd",302.647176470588,585.501248397712,64.16,9.902,2213.786,17
"AF","good","Margin Attached Bar","area.sum",1822.59605882353,2257.64538187387,842.06,167.67,6980.808,17
"AF","good","Margin Attached Bar","n",15.9411764705882,9.952829925675,11,4,44,17
"AF","good","Margin Attached Bar","perim.area.ratio",1.55564705882353,1.1507682184728,1.292,0.304,5.042,17
"AF","good","Margin Attached Bar","perim.mean",126.342235294118,119.985441848443,78.44,26.825,424.52,17
"AF","good","Margin Attached Bar","perim.med",77.6941764705882,66.9713401503166,57,20.4,275.8,17
"AF","good","Margin Attached Bar","perim.sd",142.005058823529,176.089980395489,58.425,22.638,564.136,17
"AF","good","Margin Attached Bar","perim.sum",1413.19694117647,910.464340462977,1359,392.2,3702.401,17
"AF","good","Mid Channel Bar","area.mean",45.3067058823529,52.3985362710218,24.467,2.28,179.77,17
"AF","good","Mid Channel Bar","area.med",29.0392941176471,47.238965348752,12.47,1.85,183.42,17
"AF","good","Mid Channel Bar","area.ratio",0.0375294117647059,0.0400501523827607,0.025,0.001,0.132,17
"AF","good","Mid Channel Bar","area.sd",67.9018571428571,65.1483255170102,34.2285,2.55,176.238,14
"AF","good","Mid Channel Bar","area.sum",325.005352941176,418.524783309176,87.1,2.28,1239.175,17
"AF","good","Mid Channel Bar","n",5.41176470588235,4.01651004494903,4,1,14,17
"AF","good","Mid Channel Bar","perim.area.ratio",1.71794117647059,1.12824933362423,1.323,0.443,4.035,17
"AF","good","Mid Channel Bar","perim.mean",40.2268823529412,34.6639796941334,24.52,9.2,124.778,17
"AF","good","Mid Channel Bar","perim.med",29.2904705882353,26.2395812397932,21.9,6.6,88,17
"AF","good","Mid Channel Bar","perim.sd",48.4342142857143,49.1717814467084,28.5795,5.853,174.758,14
"AF","good","Mid Channel Bar","perim.sum",295.131882352941,377.276559281266,182.2,9.2,1123,17
