SiteName,Watershed,visit.id,Gradient,LWfreq,Braid,Sinuosity,bfw,bfd,cover,Ucut,D50,Bldr,Cbl,Gvl,Sndf,Planform,Threads,Bedform,Substrate,Confinement,LONG_DD,LAT_DD
CBW05583-193375,Lemhi,22,2,9.418412997,1.14,1.22,4.29,0.24,56.2,NA,30,0,9.77,66.63,19.57,Wandering,Transitional,Pool-Riffle,gravel-sand,PCV,NA,NA
CBW05583-199103,Upper Grande Ronde,85,3,6.600037715,1,1.05,3.63,0.22,41.92,NA,55,3.29,39.05,37.58,5.83,Sinuous,Single,Rapid,cobble-gravel,CV,NA,NA
OJD03458-000017,John Day,157,4,18.12375939,1.045,1.16,3.1,0.22,30.99,3.23,36,10.5,21.93,42.27,22.22,Sinuous,Single,Rapid,cobble-gravel-sand,CV,NA,NA
CBW05583-206111,South Fork Salmon,197,8.5,91.19709949,1.21,1.115,7.85,0.595,39.8,4.09,79.5,24.3,15.7,23.38,22.51,Sinuous,Transitional,Cascade,boulder-gravel-sand,CV,NA,NA
LEM00002-000004,Lemhi,294,0.607,11.50306748,1,1.03,21.08,0.54,16.25,NA,78,1.58,40.34,58.67,0,Straight,Single,Plane-Bed,cobble-gravel,PCV,NA,NA
CBW05583-442351,South Fork Salmon,323,5,5.510316537,1,1.04,9.69,0.51,11.99,NA,150,28.34,38.68,23.93,4.78,Straight,Single,Rapid,boulder-cobble-gravel,CV,619780,4973498
CBW05583-032778,John Day,372,1,1.194243745,1.25,1.11,7.4,0.2,34.15,NA,48,6.35,26,35.13,11.3,Wandering,Transitional,Pool-Riffle,cobble-gravel,PCV,341041,4930770
CBW05583-197071,Lemhi,547,0.865,16.93,1.17,1.86,2.81,0.23,24.16,24.24,16,1.72,8.08,39.57,36.32,Meandering,Transitional,Plane-Bed,gravel-sand,UCV,NA,NA
CBW05583-362335,Lemhi,548,2.5,46.9602695,1.1,1.395,4.675,0.305,33.22,12.39,49,6.695,24.72,52.23,9.805,Sinuous,Single,Pool-Riffle,cobble-gravel ,CV,NA,NA
ORW03446-077704,Upper Grande Ronde,664,3,78.56678115,1.185,1.2,5.2,0.22,32.05,1.81,36.5,6.72,38.99,26.9,8.87,Wandering,Transitional,Rapid,cobble-gravel,CV,NA,NA
CBW05583-207602,John Day,665,0.6935,2.47,1,1.005,5.62,0.33,11.87,NA,59,7.74,36.005,42.445,10.245,Straight,Single,Plane-Bed,cobble-gravel,PCV,379895,4938931
