,ValleyUnit,UnitShape,UnitForm,FormID,UnitID,Area,sthdNo.Redd,sthdNo.ReddBest,sthdSuitArea,sthdBestArea,sthdMedHSI,visit
1,In-Channel,Concavity,Bowl,1,1,7.930018715,3,NA,7.930018715,NA,0.569999993,1027
2,In-Channel,Concavity,Bowl,2,2,11.62000111,4,NA,9.75000115,NA,0.550000012,1027
3,In-Channel,Concavity,Bowl,3,3,39.28000374,17,5,39.28000374,8.799994916,0.769999981,1027
4,In-Channel,Concavity,Bowl,4,4,2.080000192,NA,NA,2.080000192,1.509980989,0.839999974,1027
5,In-Channel,Concavity,Bowl,5,5,4.750000459,NA,NA,NA,NA,0.239999995,1027
6,In-Channel,Concavity,Bowl,6,6,6.99000066,1,NA,0.049986731,NA,0.280000001,1027
7,In-Channel,Concavity,Bowl,7,7,6.570000613,1,NA,2.360144867,0.500019748,0.300000012,1027
8,In-Channel,Concavity,Bowl,8,8,30.12000286,19,8,24.77996465,8.189943468,0.670000017,1027
9,In-Channel,Concavity,Bowl,9,9,8.680000815,4,2,7.850040763,1.229990943,0.620000005,1027
10,In-Channel,Concavity,Bowl,10,10,14.01000134,9,NA,12.6301558,7.94E-06,0.569999993,1027
11,In-Channel,Concavity,Bowl,11,11,1.160000108,2,NA,1.160000108,NA,0.639999986,1027
12,In-Channel,Concavity,Bowl,12,12,12.09000114,4,NA,12.09000114,0.719999998,0.680000007,1027
13,In-Channel,Concavity,Bowl,13,13,40.30995622,19,8,36.13000786,10.74988977,0.689999998,1027
14,In-Channel,Concavity,Bowl Transition,14,14,4.440010421,1,NA,4.300031178,NA,0.579999983,1027
15,In-Channel,Concavity,Bowl Transition,15,15,9.950002935,2,NA,9.949998732,NA,0.569999993,1027
16,In-Channel,Concavity,Bowl Transition,16,16,7.200000677,2,NA,2.029948156,NA,0.300000012,1027
17,In-Channel,Concavity,Bowl Transition,17,17,5.780000552,6,5,5.780000552,3.130005514,0.810000002,1027
18,In-Channel,Concavity,Bowl Transition,18,18,0.550000045,NA,NA,NA,NA,0.330000013,1027
19,In-Channel,Concavity,Bowl Transition,19,19,42.77000406,5,1,5.360207667,1.240028026,0.280000001,1027
20,In-Channel,Concavity,Bowl Transition,20,20,7.560000719,2,NA,2.349996376,0.229929596,0.379999995,1027
21,In-Channel,Concavity,Bowl Transition,21,21,3.81000037,2,NA,3.400023172,0.199988373,0.620000005,1027
22,In-Channel,Concavity,Bowl Transition,22,22,0.340000029,NA,NA,0.340000029,0.149976728,0.774999976,1027
