,GU,GUKey,UnitID,Channel,Perimeter,ElongRatio,Morphology,Position,Orient,OrientCat,bfSlope,bfSlopeSm,bedSlope,Area,Width,Length,LtoWRatio,bfwRatio,ThalwegCh,OnThalweg,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,visit
1,Bank,Bk,1,NA,11.60000055,0.273426231,Elongated,Margin Attached,8.965289436,Longitudinal,1.864559538,1.548463175,17.57544148,0.479938517,0.281547606,4.794926692,17.03060723,0.033921398,None,None,0,NA,0.119993385,NA,0.190000005,1027
2,Bank,Bk,2,NA,49.00000233,0.203013035,Elongated,Margin Attached,-0.431026925,Longitudinal,1.407525735,1.132030684,22.53375638,3.99051243,0.611448233,18.88958128,30.89318155,0.073668462,None,None,0,NA,0.120020895,NA,0.079999998,1027
3,Bank,Bk,3,NA,34.80000165,0.22850923,Elongated,Margin Attached,-1.57208086,Longitudinal,0.93526826,0.766858778,16.85521838,0.050095448,0.519865782,12.67635004,24.38388998,0.062634432,None,None,0,NA,0,NA,0.079999998,1027
4,Bank,Bk,4,NA,75.8000036,0.165804826,Elongated,Margin Attached,0.979934221,Longitudinal,0.951399921,0.815953076,26.74470024,13.41877177,0.620639438,28.74455052,46.31441178,0.074775836,None,None,0,NA,3.379195687,NA,0.319999993,1027
5,Bank,Bk,5,NA,42.200002,0.209138,Elongated,Margin Attached,-4.267179162,Longitudinal,0.456812998,0.471296769,18.30981471,5.649276688,0.581400334,16.9246565,29.1101596,0.070048233,None,None,0,NA,1.519573789,0.139931255,0.370000005,1027
6,Bank,Bk,6,NA,31.80000151,0.215163442,Elongated,Margin Attached,6.078194123,Longitudinal,0.752603823,0.684608866,19.24095328,4.249484922,0.514845624,14.15958563,27.50258521,0.062029593,None,None,0,NA,1.519741708,NA,0.419999987,1027
7,Bank,Bk,7,NA,166.2000079,0.113598563,Elongated,Margin Attached,9.549692955,Longitudinal,1.406707044,0.906567273,25.97180504,30.86185811,0.664601366,65.57314858,98.66538333,0.080072454,None,None,1,NA,15.04159063,1.840240427,0.419999987,1027
8,Bank,Bk,8,NA,45.00000214,0.181286307,Elongated,Margin Attached,-0.008361518,Longitudinal,0.840052579,0.76941483,22.66322023,9.04E-06,0.415238881,16.08712704,38.74186106,0.050028781,None,None,0,NA,0,NA,0.079999998,1027
9,Bank,Bk,9,NA,82.00000389,0.162795456,Elongated,Margin Attached,-9.164603634,Longitudinal,0.917009694,0.610945465,23.76572377,12.04101648,0.599387184,28.79608058,48.04253636,0.072215323,Main,Split,0,NA,5.240875566,NA,0.540000021,1027
10,Bank,Bk,10,NA,104.800005,0.142355164,Elongated,Margin Attached,36.38252321,Diagonal,1.601109076,1.25552337,31.28122218,17.9608632,0.617663616,38.80753482,62.82956259,0.074417303,None,None,0,NA,10.80119504,2.330010885,0.629999995,1027
