GU,GUKey,UnitID,Area,AreainDelft,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,MedModelValBest,visit
Bank,Bk,1,1.35000013,0.479938517,0,NA,0,NA,-196.6975757,NA,1027
Bank,Bk,2,11.5500011,3.99051243,0,NA,0.010062203,NA,-27.05456188,NA,1027
Bank,Bk,3,6.590000626,0.050095448,NA,NA,NA,NA,NA,NA,1027
Bank,Bk,4,17.84000169,13.41877177,3,3,3.75930035,1.479661661,6.020629777,60.11847713,1027
Bank,Bk,5,9.840000935,5.649276688,0,NA,0.039976904,NA,-18.46054177,NA,1027
Bank,Bk,6,7.290000693,4.249484922,0,NA,0.029985362,NA,-23.13102871,NA,1027
Bank,Bk,7,43.58000414,30.86185811,7,5,11.4417453,5.811145867,18.51637968,63.46996111,1027
Bank,Bk,8,6.680000633,9.04E-06,NA,NA,NA,NA,NA,NA,1027
Bank,Bk,9,17.26000164,12.04101648,0,0,3.510805762,1.350528974,8.630802626,54.80387214,1027
Bank,Bk,10,23.97000228,17.9608632,3,2,6.681012545,2.880667021,15.7374119,62.14418527,1027
Bank,Bk,11,71.34000678,35.88621284,2,1,5.078747179,0.919731707,-12.84016199,52.62665147,1027
Glide-Run,GR,12,90.75000862,86.80003822,24,11,25.1199411,13.74018924,-75.59597644,60.49056541,1027
Glide-Run,GR,13,48.67000462,48.67000461,27,19,45.88998398,34.20998061,51.03108058,60.1936923,1027
Glide-Run,GR,14,98.76000938,98.7600094,20,9,26.09991064,12.12980752,-148.1843124,53.36397921,1027
Glide-Run,GR,15,23.01000219,23.01000221,7,5,17.86007838,14.21989564,47.67256106,57.91313761,1027
Glide-Run,GR,16,46.93000446,46.93000445,17,12,25.32003395,20.27000641,32.23784227,59.24270467,1027
Glide-Run,GR,17,11.17000106,11.17000106,3,1,1.630048106,0.110006592,-143.969392,46.48567627,1027
Glide-Run,GR,18,61.0500058,46.74992326,17,13,25.61975439,19.34973162,28.53035508,56.69801439,1027
Margin Attached Bar,Br,19,3.490000332,0.300016006,0,NA,0.020010363,NA,-280.8892595,NA,1027
Margin Attached Bar,Br,20,13.31000126,5.789757635,0,NA,0.379845376,NA,-19.51881641,NA,1027
Margin Attached Bar,Br,21,24.92000237,15.22091078,0,NA,0.60043169,8.43E-10,-19.38928416,NA,1027
Margin Attached Bar,Br,22,30.5600029,19.06972547,1,1,1.999696399,0.0899476,-15.86345983,46.55822077,1027
Margin Attached Bar,Br,23,64.2800061,5.659532197,0,NA,0,NA,-32.88467827,NA,1027
Margin Attached Bar,Br,24,54.42000517,19.09146434,0,NA,0.540204305,NA,-24.9000048,NA,1027
Margin Attached Bar,Br,25,6.300000597,6.300000606,2,0,3.480268366,0.100094909,7.452176605,47.5579164,1027
Margin Attached Bar,Br,26,5.080000482,2.290073063,1,NA,0.350108098,6.51E-06,-11.76082236,NA,1027
Margin Attached Bar,Br,27,11.5400011,9.389611641,0,NA,0.40980767,NA,-22.98014998,NA,1027
Margin Attached Bar,Br,29,3.080000293,0.039997206,0,0,0.029997205,0.010004917,39.78480881,43.81142592,1027
Margin Attached Bar,Br,30,17.20000163,13.58982386,1,0,3.849599541,0.040005016,0.054819459,49.41403988,1027
Mid Channel Bar,Bc,32,1.090000103,1.090000105,0,NA,0,NA,-31.27807597,NA,1027
Mid Channel Bar,Bc,33,14.23000135,6.330039949,0,NA,0,NA,-29.6740922,NA,1027
Pocket Pool,Pk,34,1.16000011,1.160000108,2,2,1.160000108,1.160000108,55.84614335,55.84614335,1027
Pool,Po,35,9.130000868,7.930018715,3,1,2.329946349,0.149989612,-73.36563072,53.81816496,1027
Pool,Po,36,11.6200011,11.62000111,4,2,4.809986354,2.160033932,-112.2211668,50.62927379,1027
Pool,Po,37,39.28000373,39.28000374,17,17,39.31000374,36.88999453,52.61756413,53.46847288,1027
Pool,Po,38,2.080000198,2.080000192,0,NA,1.489987345,NA,-30.72920719,NA,1027
Pool,Po,39,4.750000452,4.750000459,0,NA,0,NA,-194.8652715,NA,1027
Pool,Po,40,6.990000664,6.99000066,1,0,0.339954025,0.059982643,-178.9736812,39.86279174,1027
Pool,Po,41,6.570000624,6.570000613,1,1,1.140121767,0.780098702,-192.4651788,56.63685214,1027
Pool,Po,42,30.12000286,30.12000286,19,9,20.69997477,9.980109801,10.8924897,54.44713422,1027
Pool,Po,43,8.680000824,8.680000815,4,0,2.69002293,0.720004217,-101.8770471,38.32968526,1027
Pool,Po,44,14.01000133,14.01000134,9,9,14.01000134,13.92999962,61.71192646,61.82502175,1027
Pool,Po,45,13.50000128,13.50000128,5,4,13.52000128,10.41996549,44.87236266,48.3317714,1027
Pool,Po,46,43.77000416,40.30995622,19,10,24.73004363,11.89010398,3.172417047,50.16318033,1027
Riffle,Rf,47,53.93000512,53.93000511,19,7,24.4097988,10.72977455,-34.86324173,52.06607218,1027
Riffle,Rf,48,24.44000232,24.44000232,11,2,14.32003515,2.489983229,9.535433666,45.50723339,1027
Riffle,Rf,49,19.27000183,19.27000184,4,4,4.109958539,2.909962441,-171.0234821,68.73794467,1027
Riffle,Rf,50,9.740000924,9.740000905,4,2,4.119975414,1.099938614,-48.8701911,53.23854774,1027
Riffle,Rf,51,194.2700185,194.0899914,98,54,172.3799563,84.21975835,40.40348419,51.30802322,1027
Transition,Tr,52,10.01000095,9.670004916,6,3,7.339890897,2.479682295,22.82493337,52.91823422,1027
Transition,Tr,53,54.57000518,51.50003684,15,6,32.50096759,6.230712754,15.21315874,55.53053799,1027
Transition,Tr,54,16.44000156,16.44000157,6,1,12.95990693,3.859991408,22.53623728,55.42431991,1027
Transition,Tr,55,113.5400108,110.4895293,24,6,59.29857049,16.82907721,14.68698229,60.44526113,1027
Transition,Tr,56,9.610000913,9.610000908,3,1,5.069680252,2.809554244,22.60530234,63.37658311,1027
Transition,Tr,57,64.67000614,64.51006836,22,8,41.71095265,11.63073227,20.64716843,52.19640109,1027
Transition,Tr,58,39.28000373,39.28000373,11,5,29.14901658,7.299638229,24.00028079,65.27454391,1027
Transition,Tr,59,30.94000294,28.34996313,9,4,12.90989165,10.15949996,45.51867613,66.29445261,1027
Bank,Bk,1,6.400000608,3.450065625,0,0,0.510122106,0.03006664,-17.65550003,55.110562,1029
Bank,Bk,2,27.79000264,20.73938503,4,1,3.979379609,0.489874188,-7.438997245,59.90265484,1029
Bank,Bk,3,1.420000135,1.209866739,0,NA,0.079974176,NA,-17.11528615,NA,1029
Bank,Bk,4,25.09000238,18.45044192,2,1,4.339728247,1.769847151,25.42523695,73.77651624,1029
Bank,Bk,5,9.400000892,2.110202466,0,NA,0,NA,-34.91106114,NA,1029
Bank,Bk,6,14.85000141,11.22004647,0,NA,0.530057104,4.04E-06,-18.11245931,NA,1029
Bank,Bk,7,9.330000886,6.649916657,0,NA,0.949948896,1.63E-05,-3.669132434,NA,1029
Bank,Bk,8,2.580000245,1.000207371,0,NA,0,NA,-36.91168127,NA,1029
Bank,Bk,9,19.34000184,13.89925941,0,0,2.379684325,0.779777051,-16.04248092,69.26782065,1029
Bank,Bk,10,4.490000427,3.870067605,0,NA,0,NA,-31.02402712,NA,1029
Bank,Bk,11,7.490000711,4.45999606,0,NA,6.81E-06,NA,-36.90156354,NA,1029
Bank,Bk,12,1.500040143,0.49012289,0,NA,0,NA,-36.91282839,NA,1029
Bank,Bk,13,17.25006664,8.279806389,0,NA,0.149947697,NA,-28.38092869,NA,1029
Chute,Ch,15,20.56992695,20.31997379,7,NA,2.95005197,NA,-162.4920032,NA,1029
Chute,Ch,16,3.390000323,3.390000318,0,NA,0,NA,-26.83462488,NA,1029
Chute,Ch,17,2.680000255,1.590045244,0,NA,0,NA,-36.91147698,NA,1029
Chute,Ch,18,20.34000193,20.26002816,5,0,4.860104653,0.740007653,-20.44400061,62.80641996,1029
Glide-Run,GR,19,5.970000567,5.790058506,3,NA,1.900007779,NA,-1.644626494,NA,1029
Glide-Run,GR,20,29.62000281,22.83997357,7,5,8.799963606,5.429945402,-26.55500908,67.93858701,1029
Glide-Run,GR,21,8.043066695,6.346485973,0,NA,0,NA,-30.95175122,NA,1029
Glide-Run,GR,22,128.4101322,128.1000243,40,19,68.01075278,24.68017893,18.66071541,72.53531928,1029
