"","VisitID","BFArea","WEArea","MainThalwegL","ThalwegsL","ThalwegR","BordersbyArea","No.GU","EdgeDensMainT","EdgeDensXS"
"1",1027,1689,1461,210,258,0.81,1.74,119,0.31,2.03
"2",1096,18491,12044,532,673,0.79,0.45,76,0.1,0.41
"3",1175,1072,625,152,278,0.55,2.41,139,0.55,2.26
"4",1448,4232,2884,281,608,0.46,1.2,166,0.19,0.99
"5",1486,3335,3001,286,362,0.79,1.21,86,0.23,1.34
"6",1494,4226,3847,319,343,0.93,1.06,72,0.13,1.23
"7",1521,21382,16949,634,832,1.31,0.5,97,0.08,0.51
"8",1545,606,460,125,235,0.53,3.07,139,0.6,2.41
"9",1549,557,295,122,146,0.83,2.89,105,0.38,3.24
"10",1587,3410,2730,250,315,0.79,1.08,92,0.25,1.16
"11",1602,7253,5539,364,604,0.6,0.9,115,0.18,0.87
"12",1735,2088,1439,209,474,0.44,1.88,177,0.53,1.52
"13",1967,988,765,182,277,0.66,2.58,174,0.62,2.71
"14",197,989,781,143,332,0.43,2.4,178,1.06,1.71
"15",1971,3207,1798,203,649,0.31,1.69,202,0.35,1.05
"16",2014,856,616,178,265,0.67,2.65,180,0.65,2.87
"17",2019,5107,3963,337,682,0.5,1.43,227,0.33,1.19
"18",2021,1156,1024,169,196,0.86,1.94,106,0.33,2.29
"19",2026,6689,4429,457,794,0.57,1.34,257,0.24,1.26
"20",2028,5749,4769,377,460,0.82,1.05,114,0.19,1.01
"21",2051,1156,966,153,275,0.56,2.24,209,0.76,2.2
"22",2056,5538,3652,292,411,0.71,0.97,118,0.21,0.94
"23",2060,7153,6846,390,390,1,0.91,75,0.17,0.97
"24",2061,2411,2159,214,368,0.58,1.58,166,0.39,1.28
"25",2065,3105,2438,222,308,0.72,1.18,84,0.31,1.2
"26",2133,447,289,129,137,0.94,3.13,139,0.83,3.56
"27",2140,9191,5307,382,1221,0.31,1.36,432,0.28,1.27
"28",2141,956,537,131,184,0.71,2.13,86,0.33,1.97
"29",2145,1461,1226,209,306,0.68,2.33,181,0.61,2.3
"30",2153,9710,8190,433,496,0.87,0.71,114,0.17,0.76
"31",22,548,461,128,236,0.54,3.08,162,0.79,3.63
"32",2205,583,359,127,201,0.63,2.55,90,0.46,2.82
"33",2262,3411,2421,248,334,0.74,1.13,107,0.21,1.2
"34",2265,5899,3341,283,460,0.61,0.91,160,0.16,0.94
"35",2288,1041,331,154,182,0.85,2.03,97,0.36,2.06
"36",2338,497,355,128,143,0.89,3.45,144,0.66,3.75
"37",2435,928,549,147,183,0.81,2.25,117,0.52,2.22
"38",2441,5395,2154,399,688,0.58,1.49,286,0.27,1.4
"39",2447,11348,9060,341,1061,0.32,0.84,172,0.18,0.7
"40",2458,425,265,131,164,0.8,3.79,188,1.06,3.83
"41",2459,7225,7060,303,441,0.68,0.68,68,0.2,0.76
"42",2484,3451,1635,179,657,0.27,1.58,191,0.27,1.08
"43",2499,7436,6667,306,399,0.77,0.71,66,0.19,0.75
"44",2546,24076,17927,609,609,1,0.37,46,0.06,0.42
"45",2556,11458,6773,431,1243,0.35,0.85,192,0.14,0.7
"46",2563,1403,653,121,200,0.61,1.27,48,0.2,1.39
"47",2668,16868,12216,565,1015,0.56,0.6,113,0.07,0.62
"48",2696,4845,3668,314,416,0.76,1.16,122,0.22,1.2
"49",2769,798,593,188,213,0.88,3.09,157,0.54,3.63
"50",2771,564,420,141,155,0.91,3.01,99,0.34,4.03
"51",2785,1641,825,122,361,0.34,2.18,159,0.43,1.5
"52",2790,960,806,223,249,0.89,3.15,173,0.55,3.68
"53",294,9341,8763,450,543,0.83,0.77,94,0.12,0.83
"54",3146,2992,2376,302,476,0.63,1.43,128,0.28,1.47
"55",3161,399,260,128,196,0.65,3.64,194,1.32,3.74
"56",323,1579,1156,162,242,0.67,1.67,101,0.42,1.58
"57",3275,27681,15297,695,1347,0.52,0.5,156,0.1,0.47
"58",3413,764,616,123,138,0.89,2.29,107,0.41,2.26
"59",3415,2091,1761,170,216,0.79,1.42,92,0.38,1.53
"60",3432,1029,739,174,267,0.65,2.54,177,0.75,1.98
"61",3464,2817,1637,205,329,0.62,1.24,92,0.17,1.21
"62",3466,29328,17423,690,1066,0.65,0.36,106,0.07,0.35
"63",3501,7306,5694,400,697,0.57,1.17,179,0.17,1.02
"64",3528,2389,1967,210,259,0.81,1.28,73,0.19,1.49
"65",3615,976,718,257,264,0.97,3.24,256,0.67,3.8
