"","VisitID","BFArea","WEArea","MainThalwegL","ThalwegsL","ThalwegR","BordersbyArea","No.GU","EdgeDensMainT","EdgeDensXS"
"1",1027,1689,1461,210,258,1.23,1.3,59,0.22,1.5
"2",1029,1704,1209,175,400,2.29,1.53,94,0.26,1.33
"3",1096,18491,12044,532,673,1.27,0.33,32,0.06,0.32
"4",1164,936,568,124,187,1.51,1.49,50,0.32,1.48
"5",1175,1072,625,152,278,1.83,1.74,75,0.37,1.66
"6",1448,4232,2884,281,608,2.16,0.95,115,0.14,0.8
"7",1486,3335,3001,286,362,1.27,0.8,40,0.14,0.89
"8",1494,4226,3847,319,343,1.08,0.73,33,0.08,0.91
"9",1521,21382,16949,634,832,1.31,0.35,46,0.05,0.36
"10",1545,606,460,125,235,1.88,2.1,66,0.34,1.57
"11",1549,557,295,122,146,1.2,2.09,47,0.18,2.38
"12",157,468,226,116,150,1.29,2.15,59,0.43,2.29
"13",1587,3410,2730,250,315,1.26,0.72,51,0.15,0.83
"14",1596,7744,5713,301,720,2.39,0.58,50,0.11,NA
"15",1602,7253,5539,364,604,1.66,0.64,60,0.12,0.54
"16",1621,509,413,120,141,1.18,2.03,73,0.54,NA
"17",1735,2088,1439,209,474,2.27,1.34,89,0.32,1.12
"18",1783,9977,8545,336,478,1.42,0.4,32,0.11,NA
"19",1793,9978,9090,321,540,1.68,0.36,37,0.07,NA
"20",1846,11988,7566,374,639,1.71,0.42,39,0.09,NA
"21",1967,988,765,182,277,1.52,2.08,90,0.48,1.97
"22",197,989,781,143,332,2.32,1.55,80,0.52,1.19
"23",1971,3207,1798,203,649,3.2,NA,NA,NA,NA
"24",2014,856,616,178,265,1.49,2.03,91,0.48,2.13
"25",2019,5107,3963,337,682,2.02,1.08,120,0.18,0.89
"26",2021,1156,1024,169,196,1.16,1.55,58,0.26,1.69
"27",2026,6689,4429,457,794,1.74,0.97,130,0.15,0.91
"28",2027,14356,10352,626,947,1.51,0.5,60,0.1,0.53
"29",2028,5749,4769,377,460,1.22,0.69,65,0.1,0.73
"30",2051,1156,966,153,275,1.8,1.81,112,0.56,1.78
"31",2056,5538,3652,292,411,1.41,0.63,60,0.15,0.66
"32",2060,7153,6846,390,390,1,0.59,43,0.1,0.73
"33",2061,2411,2159,214,368,1.72,1.27,91,0.28,0.97
"34",2065,3105,2438,222,308,1.39,0.91,55,0.21,0.85
"35",2133,447,289,129,137,1.06,2.5,75,0.59,2.81
"36",2140,9191,5307,382,1221,3.2,1.05,228,0.23,0.94
"37",2141,956,537,131,184,1.4,1.52,44,0.17,1.31
"38",2145,1461,1226,209,306,1.46,1.54,107,0.38,1.65
"39",2153,9710,8190,433,496,1.15,0.48,59,0.1,0.56
"40",22,548,461,128,236,1.84,2.51,85,0.53,2.63
"41",2205,583,359,127,201,1.58,1.92,48,0.26,2.17
"42",2262,3411,2421,248,334,1.35,0.84,47,0.16,0.87
"43",2265,5899,3341,283,460,1.63,0.65,68,0.12,0.64
"44",2271,702,414,126,247,1.96,NA,NA,NA,NA
"45",2288,1041,331,154,182,1.18,1.57,59,0.27,1.57
"46",2338,497,355,128,143,1.12,2.52,80,0.55,2.72
"47",2435,928,549,147,183,1.24,1.65,69,0.43,1.6
"48",2441,5395,2154,399,688,1.72,1.18,137,0.22,1.04
"49",2447,11348,9060,341,1061,3.11,0.64,86,0.11,0.52
"50",2458,425,265,131,164,1.25,2.73,102,0.78,2.71
"51",2459,7225,7060,303,441,1.46,0.47,39,0.13,0.55
"52",2484,3451,1635,179,657,3.67,1.12,88,0.16,0.72
"53",2499,7436,6667,306,399,1.3,0.5,41,0.1,0.55
"54",2546,24076,17927,609,609,1,0.3,22,0.04,0.31
"55",2556,11458,6773,431,1243,2.88,0.67,89,0.12,0.53
"56",2563,1403,653,121,200,1.65,0.98,23,0.13,1.06
