"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"1","Bowl",9.1,22.4,14.6461538461538,24.4153846153846,13.9559793269537,15.571011857179,190.4,317.4,13,11.27,1.67,1027
"2","Bowl Transition",6.1,28.8,9.96363636363636,35.2181818181818,12.2705560368936,32.5537653177576,109.6,387.4,11,6.49,3.53,1027
"3","Mound",5.1,21.4,12.7952380952381,39.4095238095238,17.6333625888676,39.3808824782013,268.7,827.6,21,15.91,3.08,1027
"4","Mound Transition",1.15,12.1,4.77307692307692,28.8384615384615,7.18635137979254,32.9308618402018,124.1,749.8,26,7.35,6.04,1027
"5","Plane",5.1,37.5,14.16875,53.425,19.1321620576452,49.5143278927087,226.7,854.8,16,13.42,3.77,1027
"6","Saddle",24.4,49.4,57.94,61.96,71.504706138827,47.6288567992136,289.7,309.8,5,17.15,1.07,1027
"7","Trough",5.5,25,17.1,58.375,20.6570407690292,56.6532317407107,273.6,934,16,16.2,3.41,1027
"8","Wall",10.4,49,18.7909090909091,84.3636363636364,18.704355350851,78.8534244370817,206.7,928,11,12.24,4.49,1027
"9","Bowl",8,14.2,9.43809523809524,16.9333333333333,9.60866672283289,11.8979550063586,198.2,355.6,21,11.64,1.79,1029
"10","Bowl Transition",2.1,15.1,5.16875,19.8375,6.39319625330971,19.4312763348165,82.7,317.4,16,4.86,3.84,1029
"11","Mound",3.95,15.5,14.5733333333333,32.36,20.0170433128498,32.8760010992192,437.2,970.8,30,25.67,2.22,1029
"12","Mound Transition",0.55,6.4,2.66428571428571,18.2892857142857,6.60706037154548,33.7964800672358,149.2,1024.2,56,8.76,6.86,1029
"13","Plane",5.2,33.6,11.74,50.4,17.8272731135939,43.1774246568736,293.5,1260,25,17.23,4.29,1029
"14","Saddle",15.8,32.4,14.7,29.0285714285714,10.2296953359651,16.197707068771,102.9,203.2,7,6.04,1.97,1029
"15","Trough",8.4,32,21.3571428571429,87.8285714285714,31.6205316523619,125.428640016002,299,1229.6,14,17.56,4.11,1029
"16","Wall",7.9,42.3,10.0285714285714,54.7857142857143,8.44269630385464,42.2729201761575,140.4,767,14,8.24,5.46,1029
"17","Bowl",46.8,42.2,161.890909090909,74.7272727272727,229.644875643004,72.2547865668302,1780.8,822,11,9.63,0.46,1096
"18","Bowl Transition",30.6,63,109.14,110.12,153.719601873021,116.020082552787,1091.4,1101.2,10,5.9,1.01,1096
"19","Mound",281.9,349,1001.66,489.96,1306.79551116462,555.793512016828,5008.3,2449.8,5,27.08,0.49,1096
"20","Mound Transition",0.2,4.5,54.6058823529412,89.3411764705882,265.903309997036,343.072839794459,1856.6,3037.6,34,10.04,1.64,1096
"21","Plane",1801.85,1629.6,1801.85,1629.6,2041.48798796368,1067.44839687921,3603.7,3259.2,2,19.49,0.9,1096
"22","Saddle",74.6,59.2,115.266666666667,93.4666666666667,82.3145997580826,63.9078503263357,345.8,280.4,3,1.87,0.81,1096
"23","Trough",484.8,272.6,714.34,539.76,809.386748100066,565.428481772894,3571.7,2698.8,5,19.31,0.76,1096
"24","Wall",175.85,271,205.6,265.1,216.399861367793,209.363024433638,1233.6,1590.6,6,6.67,1.29,1096
"25","Bowl",2.9,10.4,3.53846153846154,11.0769230769231,2.69615110281875,5.25518059413024,46,144,13,4.91,3.13,1164
"26","Bowl Transition",4.5,16.7,7.67142857142857,26.1142857142857,7.62732220088046,22.662027105435,107.4,365.6,14,11.47,3.4,1164
"27","Mound",10.3,28.4,15.1428571428571,35.9285714285714,13.137012556175,23.9142837449288,212,503,14,22.65,2.37,1164
"28","Mound Transition",0.9,7.6,3.636,22.576,6.67812848034537,32.2040018217198,90.9,564.4,25,9.71,6.21,1164
"29","Plane",3.7,26.4,17.0090909090909,66.9454545454545,27.8042606283805,89.230895587082,187.1,736.4,11,19.99,3.94,1164
"30","Saddle",4.1,11.8,4.1,11.8,3.39411254969543,5.65685424949238,8.2,23.6,2,0.88,2.88,1164
"31","Trough",40.9,161.2,36.54,131.2,31.8498508630731,104.036628165276,182.7,656,5,19.52,3.59,1164
"32","Wall",3.6,22.8,8.5,37.9,8.24003530442569,31.1270125307732,102,454.8,12,10.9,4.46,1164
"33","Bowl",1.65,8.2,3.30909090909091,10.3454545454545,4.00129849053899,8.61033306544152,72.8,227.6,22,6.8,3.13,1175
"34","Bowl Transition",2.15,11.4,4.21538461538462,16.3307692307692,5.54181864067689,15.5933259885316,109.6,424.6,26,10.23,3.87,1175
"35","Mound",6.5,23,12.7238095238095,29.9238095238095,13.4458880242959,22.346675474484,267.2,628.4,21,24.95,2.35,1175
"36","Mound Transition",0.9,13.4,2.72571428571429,23.0114285714286,4.52375058195421,25.7143101773927,95.4,805.4,35,8.91,8.44,1175
"37","Plane",7,50.2,22.3444444444444,111.177777777778,32.7380173159246,136.965814875262,201.1,1000.6,9,18.78,4.98,1175
"38","Saddle",6.05,15.2,6.675,14.25,6.09008757463033,8.88650662521556,26.7,57,4,2.49,2.13,1175
"39","Trough",12.1,61.4,18.8818181818182,86.3090909090909,18.4615718822541,91.6367334047374,207.7,949.4,11,19.39,4.57,1175
"40","Wall",8.4,48.8,8.22727272727273,53.9636363636364,6.43538513363278,44.0524976074518,90.5,593.6,11,8.45,6.56,1175
"41","Bowl",31.3,33.4,47.2,47.3846153846154,73.9234739443433,58.5079175005948,613.6,616,13,14.5,1,1448
"42","Bowl Transition",3.3,15.6,5.26666666666667,21.9111111111111,4.55823430727294,22.4993580155326,47.4,197.2,9,1.12,4.16,1448
"43","Mound",21.9,36,35.78,48.0057142857143,40.3782614781766,39.7593196093484,1252.3,1680.2,35,29.59,1.34,1448
"44","Mound Transition",2,12.6,8.09387755102041,29.7795918367347,14.3002244761412,41.372016405979,396.6,1459.2,49,9.37,3.68,1448
"45","Plane",8.6,56.8,40.5526315789474,109.105263157895,84.4626568925979,164.772089983185,770.5,2073,19,18.21,2.69,1448
"46","Saddle",27.75,32.3,28.25,30.3666666666667,22.0223295770452,16.0705527803703,169.5,182.2,6,4,1.07,1448
"47","Trough",40.7,77.6,80.3444444444444,189.511111111111,100.230710252785,243.581569727907,723.1,1705.6,9,17.09,2.36,1448
"48","Wall",8.05,36.6,10.0076923076923,41.3307692307692,8.24402440932452,26.6661098659819,260.2,1074.6,26,6.15,4.13,1448
"49","Bowl",9.3,17.6,26.42,28.5333333333333,48.4844334370763,32.730384892911,396.3,428,15,11.88,1.08,1486
"50","Bowl Transition",3.7,18,25.2090909090909,50.8727272727273,35.0515749873085,62.588962140446,277.3,559.6,11,8.31,2.02,1486
"51","Mound",4.95,23.3,28.5125,55.4,47.5427509370952,64.9580377371936,456.2,886.4,16,13.68,1.94,1486
"52","Mound Transition",5.4,24.4,10.68,46.128,13.489378537699,52.8571937708892,267,1153.2,25,8,4.32,1486
"53","Plane",38.3,159.6,137.3,306.76,229.653086197421,440.552162632304,686.5,1533.8,5,20.58,2.23,1486
"54","Saddle",40.6,42,40.6,42,0,0,40.6,42,1,1.22,1.03,1486
"55","Trough",42.9,73.5,92.5875,176.1,123.165352705795,220.980283541961,740.7,1408.8,8,22.2,1.9,1486
"56","Wall",42.4,127.2,94.28,251.52,107.834117977568,274.353079078767,471.4,1257.6,5,14.13,2.67,1486
