"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"1","Bank",11.6,49,19.7636363636364,84.2545454545455,20.6263556028336,78.7277887868872,217.4,926.8,11,12.87,4.26,1027
"2","Glide-Run",48.7,110.6,54.3571428571429,112.714285714286,32.3577325711005,48.2607994329224,380.5,789,7,22.53,2.07,1027
"3","Margin Attached Bar",12.4,46.3,20.3083333333333,57.75,20.1897119765729,43.3782622561536,243.7,693,12,14.43,2.84,1027
"4","Mid Channel Bar",1.1,9,5.1,10.3333333333333,7.9,10.4639062177245,15.3,31,3,0.91,2.03,1027
"5","Pocket Pool",1.2,5.2,1.2,5.2,0,0,1.2,5.2,1,0.07,4.33,1027
"6","Pool",10.35,22.8,15.8833333333333,26.0833333333333,13.924787142707,15.0894203354737,190.6,313,12,11.28,1.64,1027
"7","Riffle",24.4,49.4,60.32,60.6,76.6927767133255,44.8448436277795,301.6,303,5,17.86,1,1027
"8","Transition",35.1,110.4,42.375,98.525,35.1421501090317,37.4353442618069,339,788.2,8,20.07,2.33,1027
"9","Bank",9.3,46.4,11.3076923076923,58.2923076923077,8.83972676222344,41.8419737731237,147,757.8,13,8.63,5.16,1029
"10","Chute",10.5,29.4,11.5,40.4,8.7220983713783,20.9451665068579,57.5,202,5,3.38,3.51,1029
"11","Glide-Run",29.6,71.8,48.1111111111111,111,57.5083568806405,114.460517210084,433,999,9,25.43,2.31,1029
"12","Margin Attached Bar",7.75,30.5,15.7875,34.7125,18.2509497469766,24.9184235723959,252.6,555.4,16,14.83,2.2,1029
"13","Mid Channel Bar",2.9,8.1,15.575,28.7333333333333,24.2290256060408,44.9429807105794,186.9,344.8,12,10.98,1.84,1029
"14","Pocket Pool",1.4,6.2,1.275,6.5,0.369362384967083,1.75336411343614,10.2,52,8,0.6,5.1,1029
"15","Pond",8.5,15.6,8.5,15.6,0,0,8.5,15.6,1,0.5,1.84,1029
"16","Pool",13.5,21.8,15.025,24.1166666666667,9.20722295512901,10.9220238994706,180.3,289.4,12,10.59,1.61,1029
"17","Riffle",15.8,32.4,14.8,29,10.3216600731988,16.1789987329253,103.6,203,7,6.08,1.96,1029
"18","Transition",13.1,61.4,29.3818181818182,103.154545454545,26.523454457586,81.2300112475231,323.2,1134.7,11,18.98,3.51,1029
"19","Bank",175.85,271,205.6,265.1,216.399861367793,209.363024433638,1233.6,1590.6,6,6.67,1.29,1096
"20","Chute",17.7,76.4,17.7,76.4,0,0,17.7,76.4,1,0.1,4.32,1096
"21","Glide-Run",3792.75,1222.15,3792.75,1222.15,3801.90103040571,639.15381951452,7585.5,2444.3,2,41.03,0.32,1096
"22","Margin Attached Bar",281.9,349,1001.66,489.96,1306.79551116462,555.793512016828,5008.3,2449.8,5,27.09,0.49,1096
"23","Pool",46.8,42.2,161.890909090909,74.7272727272727,229.644875643004,72.2547865668302,1780.8,822,11,9.63,0.46,1096
"24","Riffle",74.6,59.2,115.266666666667,93.4666666666667,82.3145997580826,63.9078503263357,345.8,280.4,3,1.87,0.81,1096
"25","Transition",134.75,295.8,629.45,723.2,1061.71801184056,1064.06824342552,2517.8,2892.8,4,13.62,1.15,1096
"26","Bank",7.1,38.9,9.98,43.5,8.64263334355398,31.1827944011865,99.8,435,10,10.66,4.36,1164
"27","Chute",4.8,21.4,4.8,21.4,0,0,4.8,21.4,1,0.51,4.46,1164
"28","Glide-Run",84.1,132.05,79.275,115.125,55.698137311763,63.0532777366358,317.1,460.5,4,33.87,1.45,1164
"29","Margin Attached Bar",12.2,30,17.9727272727273,41.8727272727273,13.781951306625,21.828288568236,197.7,460.6,11,21.12,2.33,1164
"30","Mid Channel Bar",1.1,7.4,5.83333333333333,10.8333333333333,9.16751511225007,12.6056865474806,17.5,32.5,3,1.87,1.86,1164
