GU,GUKey,SubGU,UnitID,Channel,Forcing,Perimeter,ElongRatio,Morphology,Position,Orient,OrientCat,bfSlope,bfSlopeSm,bedSlope,Area,Width,Length,LtoWRatio,bfwRatio,ThalwegCh,OnThalweg,VisitID,ForceType,ForceElem,ForceHyd,ValleyUnit,UnitShape,UnitForm,FormID
Bank,Bk,NA,1,NA,"NA",11.6000005491,0.273426231051,Elongated,Margin Attached,8.96528943558,Longitudinal,1.86455953762,1.54846317503,17.5754414806,1.35000012983,0.281547605761,4.79492669162,17.0306072348,0.0339213982845,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,2,NA,"NA",49.0000023283,0.203013035262,Elongated,Margin Attached,-0.431026925152,Longitudinal,1.4075257353,1.13203068373,22.5337563812,11.5500010966,0.611448233185,18.8895812757,30.8931815492,0.0736684618295,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,3,NA,"NA",34.8000016548,0.228509230418,Elongated,Margin Attached,-1.57208086026,Longitudinal,0.935268259578,0.766858777707,16.8552183794,6.59000062564,0.519865782134,12.6763500352,24.3838899786,0.0626344315824,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,4,NA,"NA",75.8000036031,0.165804825704,Elongated,Margin Attached,0.979934221469,Longitudinal,0.951399921304,0.815953076253,26.7447002404,17.8400016948,0.620639438487,28.7445505208,46.3144117797,0.0747758359623,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,5,NA,"NA",42.2000020035,0.209137999505,Elongated,Margin Attached,-4.26717916208,Longitudinal,0.456812998081,0.471296769423,18.3098147138,9.84000093494,0.581400333567,16.9246565006,29.1101595982,0.0700482329599,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,6,NA,"NA",31.8000015114,0.215163442084,Elongated,Margin Attached,6.0781941231,Longitudinal,0.752603823276,0.684608866035,19.2409532819,7.29000069335,0.514845623566,14.1595856305,27.5025852067,0.0620295932008,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,7,NA,"NA",166.200007891,0.113598563342,Elongated,Margin Attached,9.54969295526,Longitudinal,1.40670704389,0.906567273418,25.9718050445,43.5800041424,0.664601366395,65.573148576,98.6653833284,0.0800724537825,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,8,NA,"NA",45.0000021383,0.181286307457,Elongated,Margin Attached,-0.00836151820695,Longitudinal,0.840052579245,0.769414829637,22.6632202314,6.68000063345,0.415238881168,16.0871270403,38.7418610586,0.0500287808637,None,None,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,9,NA,"NA",82.0000038929,0.162795456154,Elongated,Margin Attached,-9.16460363448,Longitudinal,0.91700969432,0.61094546489,23.7657237699,17.2600016425,0.599387183849,28.7960805763,48.0425363642,0.0722153233553,Main,Split,1027,NA,NA,NA,NA,NA,NA,NA
Bank,Bk,NA,10,NA,"NA",104.800004981,0.142355163545,Elongated,Margin Attached,36.3825232116,Diagonal,1.60110907631,1.25552337041,31.2812221803,23.9700022781,0.617663615903,38.807534815,62.8295625901,0.0744173031209,None,None,1027,NA,NA,NA,NA,NA,NA,NA
