visit.id,layer,var,category,value,species,lifestage
1027,thalweg,length,reach,253.321,NA,NA
1027,thalweg,length,main,206.017,NA,NA
1027,nrei,area,reach,1410.84,steelhead,juvenile
1027,nrei,area,suitable,754.82,steelhead,juvenile
1027,nrei,pred.fish,suitable,451,steelhead,juvenile
1027,nrei,pred.fish,reach,451,steelhead,juvenile
1027,nrei,med,reach,18.851,steelhead,juvenile
1027,nrei,mean,reach,-25.765,steelhead,juvenile
1027,nrei,sd,reach,108.333,steelhead,juvenile
1027,nrei,med,suitable,43.308,steelhead,juvenile
1027,nrei,mean,suitable,38.626,steelhead,juvenile
1027,nrei,sd,suitable,30.785,steelhead,juvenile
1027,fuzzy,area,reach,1372.84,chinook,spawner
1027,fuzzy,area,suitable,895.72,chinook,spawner
1027,fuzzy,pred.fish,suitable,21,chinook,spawner
1027,fuzzy,pred.fish,reach,21,chinook,spawner
1027,fuzzy,med,reach,0.509,chinook,spawner
1027,fuzzy,mean,reach,0.498,chinook,spawner
1027,fuzzy,sd,reach,0.234,chinook,spawner
1027,fuzzy,med,suitable,0.623,chinook,spawner
1027,fuzzy,mean,suitable,0.638,chinook,spawner
1027,fuzzy,sd,suitable,0.147,chinook,spawner
1027,fuzzy,area,reach,1372.84,steelhead,spawner
1027,fuzzy,area,suitable,881.23,steelhead,spawner
1027,fuzzy,pred.fish,suitable,29,steelhead,spawner
1027,fuzzy,pred.fish,reach,29,steelhead,spawner
1027,fuzzy,med,reach,0.512,steelhead,spawner
1027,fuzzy,mean,reach,0.489,steelhead,spawner
1027,fuzzy,sd,reach,0.246,steelhead,spawner
1027,fuzzy,med,suitable,0.628,steelhead,spawner
1027,fuzzy,mean,suitable,0.642,steelhead,spawner
1027,fuzzy,sd,suitable,0.144,steelhead,spawner
1027,fuzzy,area,reach,1372.84,chinook,juvenile
1027,fuzzy,area,suitable,348.88,chinook,juvenile
1027,fuzzy,pred.fish,suitable,310,chinook,juvenile
1027,fuzzy,pred.fish,reach,310,chinook,juvenile
1027,fuzzy,med,reach,0.245,chinook,juvenile
1027,fuzzy,mean,reach,0.272,chinook,juvenile
1027,fuzzy,sd,reach,0.189,chinook,juvenile
1027,fuzzy,med,suitable,0.5,chinook,juvenile
1027,fuzzy,mean,suitable,0.534,chinook,juvenile
1027,fuzzy,sd,suitable,0.111,chinook,juvenile
1029,thalweg,length,reach,415.343,NA,NA
1029,thalweg,length,main,172.462,NA,NA
1029,nrei,area,reach,1173.84,steelhead,juvenile
1029,nrei,area,suitable,410.44,steelhead,juvenile
1029,nrei,pred.fish,suitable,237,steelhead,juvenile
1029,nrei,pred.fish,reach,237,steelhead,juvenile
1029,nrei,med,reach,20.319,steelhead,juvenile
1029,nrei,mean,reach,4.754,steelhead,juvenile
1029,nrei,sd,reach,80.801,steelhead,juvenile
1029,nrei,med,suitable,61.487,steelhead,juvenile
1029,nrei,mean,suitable,55.476,steelhead,juvenile
1029,nrei,sd,suitable,27.703,steelhead,juvenile
1029,fuzzy,area,reach,1082.78,chinook,spawner
1029,fuzzy,area,suitable,473.31,chinook,spawner
1029,fuzzy,pred.fish,suitable,11,chinook,spawner
1029,fuzzy,pred.fish,reach,11,chinook,spawner
1029,fuzzy,med,reach,0.32,chinook,spawner
1029,fuzzy,mean,reach,0.358,chinook,spawner
1029,fuzzy,sd,reach,0.266,chinook,spawner
1029,fuzzy,med,suitable,0.65,chinook,spawner
1029,fuzzy,mean,suitable,0.629,chinook,spawner
1029,fuzzy,sd,suitable,0.131,chinook,spawner
1029,fuzzy,area,reach,1082.78,steelhead,spawner
1029,fuzzy,area,suitable,473.31,steelhead,spawner
1029,fuzzy,pred.fish,suitable,15,steelhead,spawner
1029,fuzzy,pred.fish,reach,15,steelhead,spawner
1029,fuzzy,med,reach,0.32,steelhead,spawner
1029,fuzzy,mean,reach,0.358,steelhead,spawner
1029,fuzzy,sd,reach,0.266,steelhead,spawner
1029,fuzzy,med,suitable,0.65,steelhead,spawner
1029,fuzzy,mean,suitable,0.629,steelhead,spawner
1029,fuzzy,sd,suitable,0.131,steelhead,spawner
1029,fuzzy,area,reach,1082.78,chinook,juvenile
1029,fuzzy,area,suitable,412.07,chinook,juvenile
1029,fuzzy,pred.fish,suitable,432,chinook,juvenile
1029,fuzzy,pred.fish,reach,432,chinook,juvenile
1029,fuzzy,med,reach,0.22,chinook,juvenile
1029,fuzzy,mean,reach,0.324,chinook,juvenile
1029,fuzzy,sd,reach,0.268,chinook,juvenile
1029,fuzzy,med,suitable,0.634,chinook,juvenile
1029,fuzzy,mean,suitable,0.633,chinook,juvenile
1029,fuzzy,sd,suitable,0.141,chinook,juvenile
1096,thalweg,length,reach,656.377,NA,NA
1096,thalweg,length,main,525.728,NA,NA
1096,nrei,area,reach,12603.48,steelhead,juvenile
1096,nrei,area,suitable,1981.1,steelhead,juvenile
1096,nrei,pred.fish,suitable,3802,steelhead,juvenile
1096,nrei,pred.fish,reach,3802,steelhead,juvenile
1096,nrei,med,reach,67.823,steelhead,juvenile
1096,nrei,mean,reach,46.593,steelhead,juvenile
1096,nrei,sd,reach,61.309,steelhead,juvenile
1096,nrei,med,suitable,74.466,steelhead,juvenile
1096,nrei,mean,suitable,66.515,steelhead,juvenile
1096,nrei,sd,suitable,23.501,steelhead,juvenile
1096,fuzzy,area,reach,10992.87,chinook,spawner
1096,fuzzy,area,suitable,6763.03,chinook,spawner
1096,fuzzy,pred.fish,suitable,140,chinook,spawner
1096,fuzzy,pred.fish,reach,140,chinook,spawner
1096,fuzzy,med,reach,0.459,chinook,spawner
1096,fuzzy,mean,reach,0.432,chinook,spawner
1096,fuzzy,sd,reach,0.188,chinook,spawner
1096,fuzzy,med,suitable,0.548,chinook,spawner
1096,fuzzy,mean,suitable,0.555,chinook,spawner
