gut.layer,visit.id,n.units,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier2_InChannel_Transition,1027,119,1689.122,1460.999,210.211,257.515,1.225,1.736,0.247,0.334,1.162
Tier2_InChannel_Transition,1029,183,1703.582,1209.404,177.472,420.353,2.369,1.988,0.428,0.59,1.276
Tier2_InChannel_Transition,1096,76,18490.873,12044.255,532.129,672.556,1.264,0.455,0.07,0.086,0.312
Tier2_InChannel_Transition,1164,96,936.046,567.588,123.73,187.061,1.512,2.029,0.485,0.642,1.34
Tier2_InChannel_Transition,1175,139,1071.517,625.026,151.767,278.026,1.832,2.406,0.639,0.658,1.576
Tier2_InChannel_Transition,1448,166,4232.429,2884.025,281.407,608.14,2.161,1.196,0.16,0.298,0.78
Tier2_InChannel_Transition,1486,86,3335.073,3001.347,285.992,362.216,1.267,1.208,0.262,0.262,0.84
Tier2_InChannel_Transition,1494,72,4225.77,3846.588,318.606,343.49,1.078,1.06,0.188,0.207,0.766
Tier2_InChannel_Transition,1521,97,21381.844,16949.086,634.484,831.66,1.311,0.503,0.106,0.135,0.333
Tier2_InChannel_Transition,1545,139,605.99,460.305,125.183,234.967,1.877,3.074,0.607,0.796,1.75
Tier2_InChannel_Transition,1549,105,557.424,295.062,122.227,145.606,1.191,2.885,0.376,0.467,1.932
Tier2_InChannel_Transition,157,100,467.633,226.361,115.934,149.578,1.29,2.749,0.552,0.555,1.853
Tier2_InChannel_Transition,1587,92,3410.216,2729.544,249.785,314.872,1.261,1.08,0.288,0.299,0.726
Tier2_InChannel_Transition,1596,106,7744.422,5713.037,301.184,720.315,2.392,0.788,0.123,0.169,0.492
Tier2_InChannel_Transition,1602,115,7253.006,5539.187,364.373,604.29,1.658,0.905,0.187,0.255,0.629
Tier2_InChannel_Transition,1621,142,508.808,412.759,119.705,141.153,1.179,2.878,0.752,0.779,1.761
Tier2_InChannel_Transition,1735,177,2087.556,1438.713,209.059,474.247,2.268,1.876,0.44,0.633,1.121
Tier2_InChannel_Transition,1783,73,9976.816,8545.172,335.954,478.247,1.424,0.571,0.191,0.163,0.386
Tier2_InChannel_Transition,1793,80,9978.441,9090.376,321.036,540.056,1.682,0.543,0.103,0.124,0.356
Tier2_InChannel_Transition,1846,82,11988.061,7566.135,373.924,639.023,1.709,0.543,0.152,0.135,0.325
Tier2_InChannel_Transition,1954,383,3328.02,2179.53,165.524,626.63,3.786,2.023,0.465,0.594,NA
Tier2_InChannel_Transition,1967,174,988.104,764.784,181.714,277.059,1.525,2.581,0.644,0.733,1.729
Tier2_InChannel_Transition,197,178,989.249,781.27,143.231,332.058,2.318,2.404,1.061,0.979,1.625
Tier2_InChannel_Transition,1971,202,3206.576,1798.333,203.437,648.634,3.188,1.693,0.27,0.432,NA
Tier2_InChannel_Transition,2027,128,14355.699,10352.315,626.448,946.944,1.512,0.716,0.18,0.19,0.492
Tier2_InChannel_Transition,2051,209,1155.799,966.282,153.076,275.083,1.797,2.242,0.529,0.734,1.396
Tier2_InChannel_Transition,2056,118,5538.374,3651.765,292.274,410.514,1.405,0.969,0.216,0.202,0.723
Tier2_InChannel_Transition,2060,75,7153.184,6845.722,389.912,389.912,1,0.906,0.31,0.31,0.612
Tier2_InChannel_Transition,2061,166,2411.324,2159.333,213.564,368.403,1.725,1.577,0.328,0.461,0.943
Tier2_InChannel_Transition,2065,84,3105.27,2438.284,222.411,307.712,1.384,1.182,0.27,0.354,0.782
Tier2_InChannel_Transition,2133,139,446.652,289.394,129.192,136.802,1.059,3.134,0.542,0.563,1.914
Tier2_InChannel_Transition,2140,432,9190.84,5306.666,381.725,1221.01,3.199,1.358,0.265,0.358,0.881
Tier2_InChannel_Transition,2141,86,955.952,537.092,131.435,184.389,1.403,2.126,0.456,0.607,1.418
Tier2_InChannel_Transition,2145,181,1460.737,1225.926,208.601,306.122,1.468,2.33,0.58,0.722,1.565
Tier2_InChannel_Transition,2153,114,9710.474,8189.807,432.899,496.168,1.146,0.707,0.185,0.206,0.495
Tier2_InChannel_Transition,22,162,547.727,461.451,127.935,235.503,1.841,3.08,0.571,0.811,1.867
Tier2_InChannel_Transition,2205,90,582.715,359.323,127.178,201.218,1.582,2.55,0.511,0.542,1.684
Tier2_InChannel_Transition,2262,107,3410.606,2421.409,248.423,334.305,1.346,1.131,0.161,0.272,0.764
Tier2_InChannel_Transition,2265,160,5898.58,3340.755,282.855,460.051,1.626,0.91,0.191,0.228,0.599
Tier2_InChannel_Transition,2271,297,702.154,413.555,126.273,246.873,1.955,3.416,1.006,1.167,1.878
Tier2_InChannel_Transition,2288,97,1041.499,331.315,154.359,182.023,1.179,2.032,0.479,0.533,1.319
Tier2_InChannel_Transition,2338,144,496.597,355.179,127.598,143.491,1.125,3.45,0.745,0.725,2.336
Tier2_InChannel_Transition,2435,117,928.136,549.102,147.281,182.769,1.241,2.252,0.706,0.722,1.316
Tier2_InChannel_Transition,2441,286,5395.229,2154.382,399.459,687.989,1.722,1.495,0.263,0.292,1.02
Tier2_InChannel_Transition,2447,172,11348.432,9059.562,341.339,1061.311,3.109,0.836,0.29,0.301,0.576
