visit.id,UnitForm,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,pred.fish.suitable,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1027,Bowl,nrei,steelhead,juvenile,185.59,123.92,83,83,30.451,-29.316,110.339,47.083,38.902,37.424
1027,Bowl Transition,nrei,steelhead,juvenile,106.77,31.76,28,28,-147.185,-139.199,166.815,39.19,32.881,35.681
1027,Mound,nrei,steelhead,juvenile,260.24,12.79,6,6,-16.131,-13.007,27.392,13.763,16.971,12.49
1027,Mound Transition,nrei,steelhead,juvenile,120.81,51.22,20,20,6.997,6.035,35.919,22.773,27.468,19.791
1027,Plane,nrei,steelhead,juvenile,221.26000000000002,155.228,80,80,25.857,14.747,56.898,38.428,37.874,25.803
1027,Saddle,nrei,steelhead,juvenile,289.78000000000003,208.94000000000003,131,131,28.967,-11.165,95.189,40.16,36.881,25.545
1027,Trough,nrei,steelhead,juvenile,260.61,142.57,89,89,26.85,-20.865,94.168,51.84,45.236,30.608
1027,Wall,nrei,steelhead,juvenile,200.6,28.332,14,14,3.983,10.624,40.617,40.364,40.688,26.375
1027,Bowl,fuzzy,chinook,spawner,185.59,159.05,6,6,0.728,0.663,0.194,0.744,0.721,0.141
1027,Bowl Transition,fuzzy,chinook,spawner,106.77,60.39,3,3,0.408,0.466,0.191,0.555,0.589,0.168
1027,Mound,fuzzy,chinook,spawner,260.24,12.66,0,0,0.078,0.177,0.147,0.493,0.5,0.066
1027,Mound Transition,fuzzy,chinook,spawner,120.81,38.26,0,0,0.289,0.324,0.181,0.536,0.542,0.093
1027,Plane,fuzzy,chinook,spawner,221.26000000000002,138.71,0,0,0.467,0.478,0.174,0.577,0.583,0.119
1027,Saddle,fuzzy,chinook,spawner,289.78000000000003,244.32999999999998,5,5,0.6,0.589,0.181,0.639,0.646,0.127
1027,Trough,fuzzy,chinook,spawner,260.61,211.599,7,7,0.57,0.587,0.198,0.635,0.65,0.158
1027,Wall,fuzzy,chinook,spawner,200.6,30.542,0,0,0.228,0.302,0.226,0.555,0.574,0.125
1027,Bowl,fuzzy,steelhead,spawner,185.59,155.16,10,10,0.728,0.656,0.205,0.746,0.728,0.135
1027,Bowl Transition,fuzzy,steelhead,spawner,106.77,47.15,3,3,0.335,0.44,0.208,0.596,0.637,0.16
1027,Mound,fuzzy,steelhead,spawner,260.24,12.8,0,0,0.078,0.163,0.15,0.492,0.5,0.066
1027,Mound Transition,fuzzy,steelhead,spawner,120.81,38.94,0,0,0.288,0.296,0.205,0.533,0.54,0.094
1027,Plane,fuzzy,steelhead,spawner,221.26000000000002,145.15,0,0,0.467,0.473,0.186,0.57,0.577,0.12
1027,Saddle,fuzzy,steelhead,spawner,289.78000000000003,246.69,6,6,0.601,0.586,0.192,0.636,0.646,0.126
1027,Trough,fuzzy,steelhead,spawner,260.61,204.44,9,9,0.57,0.581,0.206,0.65,0.659,0.154
1027,Wall,fuzzy,steelhead,spawner,200.6,30.722,1,1,0.216,0.292,0.235,0.559,0.575,0.125
1027,Bowl,fuzzy,chinook,juvenile,185.59,30.28,24,24,0.2,0.239,0.167,0.476,0.52,0.118
1027,Bowl Transition,fuzzy,chinook,juvenile,106.77,12.84,20,20,0.086,0.194,0.172,0.574,0.583,0.126
1027,Mound,fuzzy,chinook,juvenile,260.24,12.57,2,2,0.078,0.165,0.156,0.507,0.524,0.092
1027,Mound Transition,fuzzy,chinook,juvenile,120.81,34.241,38,38,0.236,0.285,0.213,0.536,0.565,0.121
1027,Plane,fuzzy,chinook,juvenile,221.26000000000002,92.43,103,103,0.366,0.368,0.183,0.514,0.541,0.109
1027,Saddle,fuzzy,chinook,juvenile,289.78000000000003,67.04,31,31,0.272,0.274,0.161,0.467,0.492,0.089
1027,Trough,fuzzy,chinook,juvenile,260.61,63,42,42,0.235,0.264,0.176,0.495,0.517,0.095
1027,Wall,fuzzy,chinook,juvenile,200.6,36.442,50,50,0.276,0.321,0.249,0.568,0.589,0.125
1029,Bowl,nrei,steelhead,juvenile,197.02,140,81,81,61.108,39.6,54.95,71.451,65.687,23.296
1029,Bowl Transition,nrei,steelhead,juvenile,82.85,19.55,24,24,-40.657,-91.93,122.718,32.535,32.269,26.866
1029,Mound,nrei,steelhead,juvenile,430.73,3.4,1,1,-27.408,-35.908,63.253,21.982,28.46,21.342
1029,Mound Transition,nrei,steelhead,juvenile,145.7,9.61,2,2,-22.065,-40.195,82.923,21.099,24.763,18.438
1029,Plane,nrei,steelhead,juvenile,287.28,68.18,33,33,-6.121,-6.268,59.351,36.22,37.214,27.815
1029,Saddle,nrei,steelhead,juvenile,102.81,24.29,17,17,-26.715,-34.067,80.373,39.676,36.864,27.613
1029,Trough,nrei,steelhead,juvenile,288.14,133.392,73,73,28.945,2.517,86.891,58.422,52.35,26.245
1029,Wall,nrei,steelhead,juvenile,135.14,11.979,6,6,-14.929,-2.222,38.628,38.802,42.049,26.341
1029,Bowl,fuzzy,chinook,spawner,197.02,143.42,8,8,0.661,0.541,0.279,0.689,0.696,0.122
1029,Bowl Transition,fuzzy,chinook,spawner,82.85,33.77,0,0,0.322,0.363,0.214,0.562,0.576,0.119
1029,Mound,fuzzy,chinook,spawner,430.73,6.12,0,0,0.078,0.141,0.144,0.518,0.536,0.102
1029,Mound Transition,fuzzy,chinook,spawner,145.7,11.57,0,0,0.078,0.169,0.159,0.526,0.533,0.086
1029,Plane,fuzzy,chinook,spawner,287.28,70.67,0,0,0.212,0.28,0.224,0.563,0.58,0.127
1029,Saddle,fuzzy,chinook,spawner,102.81,38.02,1,1,0.313,0.344,0.258,0.601,0.607,0.123
1029,Trough,fuzzy,chinook,spawner,288.14,152.491,1,1,0.473,0.441,0.248,0.628,0.623,0.125
1029,Wall,fuzzy,chinook,spawner,135.14,16.849,1,1,0.078,0.241,0.226,0.58,0.579,0.095
1029,Bowl,fuzzy,steelhead,spawner,197.02,143.42,11,11,0.661,0.541,0.279,0.689,0.696,0.122
1029,Bowl Transition,fuzzy,steelhead,spawner,82.85,33.77,0,0,0.322,0.363,0.214,0.562,0.576,0.119
1029,Mound,fuzzy,steelhead,spawner,430.73,6.12,0,0,0.078,0.141,0.144,0.518,0.536,0.102
1029,Mound Transition,fuzzy,steelhead,spawner,145.7,11.57,0,0,0.078,0.169,0.159,0.526,0.533,0.086
