visit.id,GU,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,pred.fish.suitable,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1027,Bank,nrei,steelhead,juvenile,211.33,30.502,15,15,2.873,9.716,39.999,38.486,39.596,26.509
1027,Glide-Run,nrei,steelhead,juvenile,362.09000000000003,167.41,115,115,-21.222,-62.639,135.851,50.439,43.604,31.991
1027,Margin Attached Bar,nrei,steelhead,juvenile,235.21,11.64,5,5,-15.287,-12.027,28.57,15.538,18.319,12.28
1027,Mid Channel Bar,nrei,steelhead,juvenile,15.32,NA,0,0,-30.077,-29.853,6.478,NA,NA,NA
1027,Pocket Pool,nrei,steelhead,juvenile,1.16,1.16,2,2,55.846,57.591,12.416,55.846,57.591,12.416
1027,Pool,nrei,steelhead,juvenile,185.84,124.17,82,82,30.418,-29.322,110.344,47.077,38.901,37.436
1027,Riffle,nrei,steelhead,juvenile,301.65000000000003,219.18,136,136,29.596,-9.241,93.54,39.985,36.872,25.375
1027,Transition,nrei,steelhead,juvenile,333.06,200.7,96,96,19.028,13.362,48.969,32.835,34.706,25.539
1027,Bank,fuzzy,chinook,spawner,211.33,32.512,0,0,0.23,0.302,0.22,0.545,0.569,0.124
1027,Glide-Run,fuzzy,chinook,spawner,362.09000000000003,266.8,9,9,0.522,0.546,0.202,0.597,0.63,0.163
1027,Margin Attached Bar,fuzzy,chinook,spawner,235.21,11.71,0,0,0.078,0.172,0.151,0.502,0.506,0.065
1027,Mid Channel Bar,fuzzy,chinook,spawner,15.32,NA,0,0,0.169,0.164,0.026,NA,NA,NA
1027,Pocket Pool,fuzzy,chinook,spawner,1.16,1.16,0,0,0.75,0.744,0.038,0.75,0.744,0.038
1027,Pool,fuzzy,chinook,spawner,185.84,159.3,6,6,0.728,0.663,0.194,0.743,0.72,0.141
1027,Riffle,fuzzy,chinook,spawner,301.65000000000003,256.03000000000003,6,6,0.608,0.595,0.181,0.646,0.651,0.128
1027,Transition,fuzzy,chinook,spawner,333.06,168.03,0,0,0.405,0.42,0.189,0.568,0.573,0.113
1027,Bank,fuzzy,steelhead,spawner,211.33,32.832,1,1,0.216,0.288,0.231,0.547,0.569,0.124
1027,Glide-Run,fuzzy,steelhead,spawner,362.09000000000003,244.83,11,11,0.522,0.533,0.216,0.622,0.65,0.156
1027,Margin Attached Bar,fuzzy,steelhead,spawner,235.21,11.71,0,0,0.078,0.165,0.152,0.502,0.506,0.065
1027,Mid Channel Bar,fuzzy,steelhead,spawner,15.32,0,0,0,0.078,0.08,0.015,NA,NA,NA
1027,Pocket Pool,fuzzy,steelhead,spawner,1.16,1.16,0,0,0.75,0.744,0.038,0.75,0.744,0.038
