visit.id,fuzzy.area.best.chinook.spawner,fuzzy.area.best.steelhead.spawner,fuzzy.area.reach.chinook.spawner,fuzzy.area.reach.steelhead.spawner,fuzzy.area.suitable.chinook.spawner,fuzzy.area.suitable.steelhead.spawner,fuzzy.pred.fish.best.chinook.spawner,fuzzy.pred.fish.best.steelhead.spawner,fuzzy.pred.fish.reach.chinook.spawner,fuzzy.pred.fish.reach.steelhead.spawner,fuzzy.pred.fish.suitable.chinook.spawner,fuzzy.pred.fish.suitable.steelhead.spawner,nrei.area.best.steelhead.juvenile,nrei.area.reach.steelhead.juvenile,nrei.area.suitable.steelhead.juvenile,nrei.pred.fish.best.steelhead.juvenile,nrei.pred.fish.reach.steelhead.juvenile,nrei.pred.fish.suitable.steelhead.juvenile,thalweg.length.main,thalweg.length.reach
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.25,451.24,43.71,58,87,29,121.403,227.972
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.36,269.6,37.68,38,59,21,102.381,113.437
157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.43,205.36,14.47,22,33,11,107.29,140.83
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.21,713.8,204.87,147,226,79,132.79,319.038
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.34,9274.24,330.35,835,2106,1271,443.5,536.542
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.19,1078.6,101.28,118,169,51,157.062,233.324
372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09,492.12,10.09,7,10,3,157.911,239.333
547,2.54,2.54,294.68,294.68,63.29,63.29,0,0,1,1,1,1,62.82,323.56,62.83,46,67,21,131.71,183.8
548,136.35,136.35,443.12,443.12,154.86,154.67,5,6,8,10,3,4,82.99,469.48,84.22,66,110,44,148.904,162.625
664,0.37,0.37,198.47,198.47,5.79,6.37,NA,NA,NA,NA,NA,NA,0.46,215.92,0.47,1,1,0,115.111,155.836
665,10.15,10.15,727.66,727.66,434.44,416.36,0,0,8,11,8,11,277.84,789.48,278.5,129,244,115,158.212,167.709
