layer,visit.id,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier2_InChannel_Transition,1027,1689.122,1460.999,210.211,257.515,0.816,1.736,0.247,0.334,1.162
Tier2_InChannel_Transition,1029,1703.582,1209.404,177.472,420.353,0.422,1.988,0.428,0.59,1.276
Tier2_InChannel_Transition,1096,18490.873,12044.255,532.129,672.556,0.791,0.455,0.07,0.086,0.312
Tier2_InChannel_Transition,1164,936.046,567.588,123.73,187.061,0.661,2.029,0.485,0.642,1.34
Tier2_InChannel_Transition,1175,1071.517,625.026,151.767,278.026,0.546,2.406,0.639,0.658,1.576
Tier2_InChannel_Transition,1448,4232.429,2884.025,281.407,608.14,0.463,1.196,0.16,0.298,0.78
Tier2_InChannel_Transition,1486,3335.073,3001.347,285.992,362.216,0.79,1.208,0.262,0.262,0.84
Tier2_InChannel_Transition,1494,4225.77,3846.588,318.606,343.49,0.928,1.06,0.188,0.207,0.766
Tier2_InChannel_Transition,1521,21381.844,16949.086,634.484,831.66,0.763,0.503,0.106,0.135,0.333
Tier2_InChannel_Transition,1545,605.99,460.305,125.183,234.967,0.533,3.074,0.607,0.796,1.75
Tier2_InChannel_Transition,1549,557.424,295.062,122.227,145.606,0.839,2.885,0.376,0.467,1.932
Tier2_InChannel_Transition,157,467.633,226.361,115.934,149.578,0.775,2.749,0.552,0.555,1.853
Tier2_InChannel_Transition,1587,3410.216,2729.544,249.785,314.872,0.793,1.08,0.288,0.299,0.726
Tier2_InChannel_Transition,1596,7744.422,5713.037,301.184,720.315,0.418,0.788,0.123,0.169,NA
Tier2_InChannel_Transition,1602,7253.006,5539.187,364.373,604.29,0.603,0.905,0.187,0.255,0.629
Tier2_InChannel_Transition,1621,508.808,412.759,119.705,141.153,0.848,2.878,0.752,0.779,NA
Tier2_InChannel_Transition,1735,2087.556,1438.713,209.059,474.247,0.441,1.876,0.44,0.633,NA
Tier2_InChannel_Transition,1783,9976.816,8545.172,335.954,478.247,0.702,0.571,0.191,0.163,NA
Tier2_InChannel_Transition,1793,9978.441,9090.376,321.036,540.056,0.594,0.543,0.103,0.124,NA
Tier2_InChannel_Transition,1846,11988.061,7566.135,373.924,639.023,0.585,0.543,0.152,0.135,NA
Tier2_InChannel_Transition,1967,988.104,764.784,181.714,277.059,0.656,2.581,0.644,0.733,1.729
Tier2_InChannel_Transition,197,989.249,781.27,143.231,332.058,0.431,2.404,1.061,0.979,1.625
Tier2_InChannel_Transition,1971,3206.576,1798.333,203.437,648.634,0.314,1.693,0.27,0.432,NA
Tier2_InChannel_Transition,2014,856.438,615.925,177.718,265.153,0.67,2.653,0.596,0.656,1.757
Tier2_InChannel_Transition,2019,5107.302,3962.729,337.281,681.751,0.495,1.429,0.4,0.406,0.949
Tier2_InChannel_Transition,2021,1156.441,1024.021,168.737,196.25,0.86,1.942,0.231,0.25,1.292
Tier2_InChannel_Transition,2026,6688.741,4429.285,456.853,793.758,0.576,1.341,0.241,0.306,0.863
Tier2_InChannel_Transition,2027,14355.699,10352.315,626.448,946.944,0.662,0.716,0.18,0.19,0.492
Tier2_InChannel_Transition,2028,5749.39,4769.253,377.206,459.598,0.821,1.055,0.305,0.309,0.707
Tier2_InChannel_Transition,2051,1155.799,966.282,153.076,275.083,0.556,2.242,0.529,0.734,1.396
Tier2_InChannel_Transition,2056,5538.374,3651.765,292.274,410.514,0.712,0.969,0.216,0.202,0.723
Tier2_InChannel_Transition,2060,7153.184,6845.722,389.912,389.912,1,0.906,0.31,0.31,0.612
Tier2_InChannel_Transition,2061,2411.324,2159.333,213.564,368.403,0.58,1.577,0.328,0.461,0.943
Tier2_InChannel_Transition,2065,3105.27,2438.284,222.411,307.712,0.723,1.142,0.247,0.296,0.763
Tier2_InChannel_Transition,2133,446.652,289.394,129.192,136.802,0.944,3.134,0.542,0.563,1.914
Tier2_InChannel_Transition,2140,9190.84,5306.666,381.725,1221.01,0.313,1.358,0.265,0.358,0.881
Tier2_InChannel_Transition,2141,955.952,537.092,131.435,184.389,0.713,2.126,0.456,0.607,1.418
Tier2_InChannel_Transition,2145,1460.737,1225.926,208.601,306.122,0.681,2.33,0.58,0.722,1.565
Tier2_InChannel_Transition,2153,9710.474,8189.807,432.899,496.168,0.872,0.707,0.185,0.206,0.495
Tier2_InChannel_Transition,22,547.727,461.451,127.935,235.503,0.543,3.08,0.571,0.811,1.867
Tier2_InChannel_Transition,2205,582.715,359.323,127.178,201.218,0.632,2.55,0.511,0.542,1.684
Tier2_InChannel_Transition,2262,3410.606,2421.409,248.423,334.305,0.743,1.131,0.161,0.272,0.764
Tier2_InChannel_Transition,2265,5898.58,3340.755,282.855,460.051,0.615,0.91,0.191,0.228,0.599
