visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
1027,UnitShape,Concavity,40,14.332,7.05,16.468,573.28,40.97,22.5,42.494,1638.8,0.339,2.859
1027,UnitShape,Convexity,52,13.127,3.285,27.943,682.63,36.292,19.1,37.611,1887.2,0.404,2.765
1027,UnitShape,Planar,27,16.041,7.73,18.741,433.1,66.03,42.2,63.607,1782.8,0.256,4.116
1027,UnitForm,Bowl,13,14.635,9.13,13.959,190.25,24.415,22.4,15.571,317.4,0.113,1.668
1027,UnitForm,Bowl Transition,11,9.951,6.14,12.26,109.46,35.218,28.8,32.554,387.4,0.065,3.539
1027,UnitForm,Mound,21,12.796,5.08,17.631,268.72,39.41,21.4,39.381,827.6,0.159,3.08
1027,UnitForm,Mound Transition,26,4.774,1.135,7.191,124.13,28.838,12.1,32.931,749.8,0.073,6.041
1027,UnitForm,Plane,16,14.159,5.06,19.137,226.54,53.425,37.5,49.514,854.8,0.134,3.773
1027,UnitForm,Saddle,5,57.956,24.44,71.497,289.78,61.96,49.4,47.629,309.8,0.172,1.069
1027,UnitForm,Trough,16,17.098,5.525,20.656,273.57,58.375,25,56.653,934,0.162,3.414
1027,UnitForm,Wall,11,18.778,10.37,18.707,206.56,84.364,49,78.853,928,0.122,4.493
1029,UnitShape,Concavity,51,11.372,4.98,18.735,579.95,37.306,18.6,72.436,1902.6,0.341,3.281
1029,UnitShape,Convexity,93,7.409,1.46,13.922,689.07,23.637,11.2,32.941,2198.2,0.405,3.19
1029,UnitShape,Planar,39,11.126,5.25,15.033,433.92,51.974,38.2,42.348,2027,0.255,4.671
1029,UnitForm,Bowl,21,9.435,7.97,9.6,198.14,16.933,14.2,11.898,355.6,0.116,1.795
1029,UnitForm,Bowl Transition,16,5.178,2.13,6.394,82.85,19.838,15.1,19.431,317.4,0.049,3.831
1029,UnitForm,Mound,30,14.576,3.95,20.019,437.28,32.36,15.5,32.876,970.8,0.257,2.22
1029,UnitForm,Mound Transition,56,2.66,0.515,6.612,148.98,18.289,6.4,33.796,1024.2,0.087,6.876
1029,UnitForm,Plane,25,11.745,5.21,17.835,293.63,50.4,33.6,43.177,1260,0.172,4.291
1029,UnitForm,Saddle,7,14.687,15.83,10.242,102.81,29.029,32.4,16.198,203.2,0.06,1.977
1029,UnitForm,Trough,14,21.354,8.39,31.629,298.96,87.829,32,125.429,1229.6,0.176,4.113
1029,UnitForm,Wall,14,10.021,7.885,8.444,140.29,54.786,42.3,42.273,767,0.082,5.467
1096,UnitShape,Concavity,26,247.847,100.28,434.614,6444.019,177.769,72.8,301.326,4621.999,0.348,0.717
1096,UnitShape,Convexity,42,171.692,0.375,565.198,7211.078,137.329,7.7,377.206,5767.799,0.39,0.8
1096,UnitShape,Planar,8,604.662,339.67,1083.92,4837.299,606.225,437.5,770.102,4849.799,0.262,1.003
1096,UnitForm,Bowl,11,161.9,46.83,229.639,1780.9,74.727,42.2,72.255,822,0.096,0.462
1096,UnitForm,Bowl Transition,10,109.142,30.6,153.729,1091.42,110.12,63,116.02,1101.2,0.059,1.009
1096,UnitForm,Mound,5,1001.684,281.92,1306.781,5008.419,489.96,349,555.793,2449.8,0.271,0.489
1096,UnitForm,Mound Transition,34,54.614,0.215,265.895,1856.879,89.341,4.5,343.073,3037.599,0.1,1.636
1096,UnitForm,Plane,2,1801.865,1801.865,2041.537,3603.729,1629.6,1629.6,1067.448,3259.199,0.195,0.904
1096,UnitForm,Saddle,3,115.26,74.59,82.302,345.78,93.467,59.2,63.908,280.4,0.019,0.811
1096,UnitForm,Trough,5,714.34,484.82,809.393,3571.699,539.76,272.6,565.428,2698.8,0.193,0.756
1096,UnitForm,Wall,6,205.595,175.82,216.419,1233.57,265.1,271,209.363,1590.6,0.067,1.289
1164,UnitShape,Concavity,32,10.507,3.71,17.069,336.23,36.425,16.6,58.214,1165.6,0.359,3.467
1164,UnitShape,Convexity,41,7.583,2.2,10.649,310.9,26.61,13.2,29.333,1091,0.332,3.509
1164,UnitShape,Planar,23,12.565,3.68,20.103,288.99,51.791,26.4,65.755,1191.2,0.309,4.122
1164,UnitForm,Bowl,13,3.556,2.92,2.702,46.23,11.077,10.4,5.255,144,0.049,3.115
1164,UnitForm,Bowl Transition,14,7.666,4.485,7.63,107.33,26.114,16.7,22.662,365.6,0.115,3.406
1164,UnitForm,Mound,14,15.134,10.265,13.145,211.87,35.929,28.4,23.914,503,0.226,2.374
1164,UnitForm,Mound Transition,25,3.632,0.85,6.665,90.81,22.576,7.6,32.204,564.4,0.097,6.216
1164,UnitForm,Plane,11,17.004,3.68,27.802,187.04,66.945,26.4,89.231,736.4,0.2,3.937
1164,UnitForm,Saddle,2,4.11,4.11,3.394,8.22,11.8,11.8,5.657,23.6,0.009,2.871
1164,UnitForm,Trough,5,36.534,40.92,31.856,182.67,131.2,161.2,104.037,656,0.195,3.591
1164,UnitForm,Wall,12,8.496,3.585,8.236,101.95,37.9,22.8,31.127,454.8,0.109,4.461
1175,UnitShape,Concavity,59,6.611,2.1,10.631,390.05,27.146,9.6,49.018,1601.6,0.364,4.106
1175,UnitShape,Convexity,60,6.487,2.47,9.862,389.25,24.847,18.2,23.94,1490.8,0.363,3.83
1175,UnitShape,Planar,20,14.582,8.255,22.91,291.64,79.71,49.5,98.858,1594.2,0.272,5.466
1175,UnitForm,Bowl,22,3.302,1.66,3.99,72.64,10.345,8.2,8.61,227.6,0.068,3.133
1175,UnitForm,Bowl Transition,26,4.218,2.165,5.531,109.66,16.331,11.4,15.593,424.6,0.102,3.872
1175,UnitForm,Mound,21,12.711,6.47,13.456,266.94,29.924,23,22.347,628.4,0.249,2.354
1175,UnitForm,Mound Transition,35,2.731,0.87,4.53,95.57,23.011,13.4,25.714,805.4,0.089,8.426
1175,UnitForm,Plane,9,22.354,6.99,32.729,201.19,111.178,50.2,136.966,1000.6,0.188,4.974
1175,UnitForm,Saddle,4,6.685,6.035,6.092,26.74,14.25,15.2,8.887,57,0.025,2.132
1175,UnitForm,Trough,11,18.886,12.09,18.463,207.75,86.309,61.4,91.637,949.4,0.194,4.57
1175,UnitForm,Wall,11,8.223,8.43,6.44,90.45,53.964,48.8,44.052,593.6,0.084,6.563
1448,UnitShape,Concavity,31,44.642,14.02,75.632,1383.9,81.252,33.2,149.652,2518.8,0.327,1.82
1448,UnitShape,Convexity,90,20.199,5.285,30.672,1817.89,36.907,21.2,40.26,3321.6,0.43,1.827
1448,UnitShape,Planar,45,22.899,8.07,56.473,1030.45,69.947,37.4,112.502,3147.6,0.243,3.055
1448,UnitForm,Bowl,13,47.195,31.29,73.908,613.54,47.385,33.4,58.508,616,0.145,1.004
1448,UnitForm,Bowl Transition,9,5.26,3.25,4.553,47.34,21.911,15.6,22.499,197.2,0.011,4.166
1448,UnitForm,Mound,35,35.773,21.86,40.379,1252.06,48.006,36,39.759,1680.2,0.296,1.342
1448,UnitForm,Mound Transition,49,8.09,2.03,14.295,396.42,29.78,12.6,41.372,1459.2,0.094,3.681
1448,UnitForm,Plane,19,40.548,8.61,84.453,770.42,109.105,56.8,164.772,2073,0.182,2.691
1448,UnitForm,Saddle,6,28.235,27.72,22.016,169.41,30.367,32.3,16.071,182.2,0.04,1.076
1448,UnitForm,Trough,9,80.336,40.68,100.238,723.02,189.511,77.6,243.582,1705.6,0.171,2.359
1448,UnitForm,Wall,26,10.001,8.04,8.247,260.03,41.331,36.6,26.666,1074.6,0.061,4.133
1486,UnitShape,Concavity,34,41.589,10.75,73.561,1414.03,70.482,19.1,125.029,2396.4,0.424,1.695
1486,UnitShape,Convexity,42,18.186,5.775,31.959,763.82,49.562,24.1,56.578,2081.6,0.229,2.725
1486,UnitShape,Planar,10,115.791,40.385,170.634,1157.91,279.14,143.4,347.219,2791.4,0.347,2.411
1486,UnitForm,Bowl,15,26.413,9.33,48.489,396.19,28.533,17.6,32.73,428,0.119,1.08
1486,UnitForm,Bowl Transition,11,25.206,3.71,35.044,277.27,50.873,18,62.589,559.6,0.083,2.018
1486,UnitForm,Mound,16,28.513,4.97,47.537,456.21,55.4,23.3,64.958,886.4,0.137,1.943
1486,UnitForm,Mound Transition,25,10.682,5.43,13.488,267.05,46.128,24.4,52.857,1153.2,0.08,4.318
1486,UnitForm,Plane,5,137.288,38.33,229.638,686.44,306.76,159.6,440.552,1533.8,0.206,2.234
1486,UnitForm,Saddle,1,40.56,40.56,NaN,40.56,42,42,NaN,42,0.012,1.036
1486,UnitForm,Trough,8,92.571,42.88,123.157,740.57,176.1,73.5,220.98,1408.8,0.222,1.902
1486,UnitForm,Wall,5,94.294,42.44,107.804,471.47,251.52,127.2,274.353,1257.6,0.141,2.667
1494,UnitShape,Concavity,29,61.297,22.05,134.639,1777.61,84.29,42.6,166.66,2444.4,0.421,1.375
1494,UnitShape,Convexity,38,25.432,9.4,36.858,966.41,67.332,41.8,65.197,2558.6,0.229,2.648
1494,UnitShape,Planar,5,296.214,237.85,319.192,1481.07,627.8,745.8,596.962,3139,0.351,2.119
1494,UnitForm,Bowl,10,55.707,34.815,67.391,557.07,49,37.5,45.472,490,0.132,0.88
1494,UnitForm,Bowl Transition,13,20.885,16.23,24.057,271.5,40.831,40.2,31.478,530.8,0.064,1.955
1494,UnitForm,Mound,17,35.365,9.36,49.657,601.2,66.941,41.8,66.708,1138,0.142,1.893
1494,UnitForm,Mound Transition,21,17.391,9.44,19.718,365.21,67.648,41.8,65.601,1420.6,0.086,3.89
1494,UnitForm,Plane,3,290.443,64,446.262,871.33,547.6,123,829.82,1642.8,0.206,1.885
1494,UnitForm,Trough,6,158.173,26.465,276.37,949.04,237.267,116.9,337.58,1423.6,0.225,1.5
1494,UnitForm,Wall,2,304.87,304.87,94.781,609.74,748.1,748.1,3.253,1496.2,0.144,2.454
1521,UnitShape,Concavity,33,257.882,52.42,556.651,8510.098,174.83,64.4,296.28,5769.4,0.398,0.678
1521,UnitShape,Convexity,44,134.307,9.065,309.72,5909.511,154.268,24.6,291.237,6787.798,0.276,1.149
1521,UnitShape,Planar,20,347.804,65.295,846.693,6956.078,340.49,83.8,655.626,6809.792,0.325,0.979
1521,UnitForm,Bowl,15,126.364,33.87,207.967,1895.462,58.187,45.6,62.476,872.8,0.089,0.46
1521,UnitForm,Bowl Transition,11,164.184,37.25,325.494,1806.026,144.509,78.8,215.708,1589.6,0.084,0.88
1521,UnitForm,Mound,19,183.862,10.29,418.899,3493.371,136.368,37,219.268,2591,0.163,0.742
1521,UnitForm,Mound Transition,23,74.4,5.76,174.092,1711.209,158.183,20.8,350.048,3638.199,0.08,2.126
1521,UnitForm,Plane,5,865.416,134.291,1668.117,4327.079,808.24,480,1232.913,4041.198,0.202,0.934
1521,UnitForm,Saddle,2,352.466,352.466,274.04,704.931,279.3,279.3,219.91,558.6,0.033,0.792
1521,UnitForm,Trough,7,686.944,233.189,1049.275,4808.61,472.429,191.6,492.428,3307,0.225,0.688
1521,UnitForm,Wall,15,175.267,51.02,224.29,2628.999,184.573,83.8,211.824,2768.594,0.123,1.053
1545,UnitShape,Concavity,51,4.382,2,6.473,223.47,21.282,8.4,34.032,1085.403,0.369,4.857
1545,UnitShape,Convexity,60,3.562,1.135,7.042,213.721,19.32,8.6,25.846,1159.2,0.353,5.424
1545,UnitShape,Planar,28,6.029,3.325,9.214,168.82,36.229,21.899,53.139,1014.399,0.279,6.009
1545,UnitForm,Bowl,14,1.605,1.295,0.799,22.47,7.186,7,2.518,100.6,0.037,4.477
1545,UnitForm,Bowl Transition,22,3.654,1.86,4.372,80.39,15.164,8.8,15.618,333.601,0.133,4.15
1545,UnitForm,Mound,19,8.147,3.81,10.787,154.791,32.168,23.8,34.06,611.2,0.255,3.948
1545,UnitForm,Mound Transition,39,1.335,0.37,2.455,52.08,13.333,5.4,19.111,520,0.086,9.987
1545,UnitForm,Plane,14,8.036,2.78,12.586,112.5,46.714,21.9,72.994,653.997,0.186,5.813
1545,UnitForm,Saddle,2,3.425,3.425,3.033,6.85,14,14,7.92,28,0.011,4.088
1545,UnitForm,Trough,15,8.041,3.73,9.873,120.61,43.413,20.6,54.611,651.201,0.199,5.399
1545,UnitForm,Wall,14,4.023,3.655,3.046,56.32,25.743,21.099,17.314,360.402,0.093,6.399
