visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
1027,GU,Bank,11,19.754,11.55,20.641,217.29,84.255,49,78.728,926.8,0.129,4.265
1027,GU,Glide-Run,7,54.334,48.67,32.342,380.34,112.714,110.6,48.261,789,0.225,2.074
1027,GU,Margin Attached Bar,12,20.306,12.425,20.19,243.67,57.75,46.3,43.378,693,0.144,2.844
1027,GU,Mid Channel Bar,3,5.113,1.09,7.913,15.34,10.333,9,10.464,31,0.009,2.021
1027,GU,Pocket Pool,1,1.16,1.16,NaN,1.16,5.2,5.2,NaN,5.2,0.001,4.483
1027,GU,Pool,12,15.875,10.375,13.925,190.5,26.083,22.8,15.089,313,0.113,1.643
1027,GU,Riffle,5,60.33,24.44,76.672,301.65,60.6,49.4,44.845,303,0.179,1.004
1027,GU,Transition,8,42.383,35.11,35.141,339.06,98.525,110.4,37.435,788.2,0.201,2.325
1029,GU,Bank,13,11.302,9.33,8.836,146.93,58.292,46.4,41.842,757.798,0.086,5.158
1029,GU,Chute,5,11.488,10.46,8.733,57.44,40.399,29.4,20.944,201.997,0.034,3.517
1029,GU,Glide-Run,9,48.123,29.62,57.515,433.103,110.998,71.8,114.462,998.982,0.254,2.307
1029,GU,Margin Attached Bar,16,15.794,7.765,18.256,252.7,34.712,30.5,24.918,555.4,0.148,2.198
1029,GU,Mid Channel Bar,12,15.587,2.889,24.23,187.038,28.734,8.104,44.943,344.807,0.11,1.843
1029,GU,Pocket Pool,8,1.282,1.4,0.36,10.26,6.5,6.2,1.753,52,0.006,5.07
1029,GU,Pond,1,8.47,8.47,NaN,8.47,15.6,15.6,NaN,15.6,0.005,1.842
1029,GU,Pool,12,15.019,13.485,9.199,180.23,24.117,21.8,10.922,289.4,0.106,1.606
1029,GU,Riffle,7,14.789,15.83,10.335,103.52,29,32.4,16.179,203,0.061,1.961
1029,GU,Transition,11,29.386,13.13,26.517,323.249,103.157,61.399,81.231,1134.722,0.19,3.51
1096,GU,Bank,6,205.595,175.82,216.419,1233.57,265.1,271,209.363,1590.6,0.067,1.289
1096,GU,Chute,1,17.71,17.71,NaN,17.71,76.4,76.4,NaN,76.4,0.001,4.314
1096,GU,Glide-Run,2,3792.749,3792.749,3801.886,7585.499,1222.152,1222.152,639.157,2444.305,0.41,0.322
1096,GU,Margin Attached Bar,5,1001.684,281.92,1306.781,5008.419,489.96,349,555.793,2449.8,0.271,0.489
1096,GU,Pool,11,161.9,46.83,229.639,1780.9,74.727,42.2,72.255,822,0.096,0.462
1096,GU,Riffle,3,115.26,74.59,82.302,345.78,93.467,59.2,63.908,280.4,0.019,0.811
1096,GU,Transition,4,629.467,134.797,1061.711,2517.868,723.21,295.802,1064.086,2892.84,0.136,1.149
1164,GU,Bank,10,9.978,7.08,8.637,99.78,43.5,38.9,31.183,435,0.107,4.36
1164,GU,Chute,1,4.84,4.84,NaN,4.84,21.4,21.4,NaN,21.4,0.005,4.421
1164,GU,Glide-Run,4,79.277,84.127,55.682,317.108,115.135,132.072,63.053,460.539,0.339,1.452
1164,GU,Margin Attached Bar,11,17.959,12.15,13.801,197.55,41.873,30,21.828,460.6,0.211,2.332
1164,GU,Mid Channel Bar,3,5.845,1.09,9.192,17.535,10.833,7.4,12.606,32.498,0.019,1.853
1164,GU,Pocket Pool,6,1.365,1.255,0.375,8.19,6.667,6.2,1.917,40,0.009,4.884
1164,GU,Pool,7,5.434,5.93,2.36,38.04,14.857,16.6,4.006,104,0.041,2.734
1164,GU,Rapid,2,24.065,24.065,16.398,48.13,44,44,34.224,88,0.051,1.828
1164,GU,Riffle,2,4.11,4.11,3.394,8.22,11.8,11.8,5.657,23.6,0.009,2.871
1164,GU,Transition,4,49.182,25.42,55.663,196.727,153.486,98.7,132.88,613.945,0.21,3.121
1175,GU,Bank,11,8.295,8.43,6.534,91.24,53.964,48.8,44.052,593.601,0.085,6.506
1175,GU,Chute,1,8.24,8.24,NaN,8.24,39.4,39.4,NaN,39.4,0.008,4.782
1175,GU,Glide-Run,5,61.017,23.39,80.112,305.084,127.554,61.999,157.581,637.769,0.285,2.09
1175,GU,Margin Attached Bar,16,11.5,5.155,12.242,184.007,29.656,22.55,20.731,474.5,0.172,2.579
1175,GU,Mid Channel Bar,6,14.602,10.585,16.735,87.61,26.467,20.6,28.839,158.8,0.082,1.813
1175,GU,Pocket Pool,10,1.052,1.1,0.291,10.52,5.04,4.7,1.066,50.4,0.01,4.791
1175,GU,Pool,12,5.177,3.015,4.679,62.12,14.767,9.7,9.68,177.2,0.058,2.852
1175,GU,Rapid,2,31.29,31.29,31.282,62.58,69.7,69.7,68.024,139.4,0.058,2.228
1175,GU,Riffle,4,6.685,6.035,6.092,26.74,14.25,15.2,8.887,57,0.025,2.132
1175,GU,Transition,8,29.1,27.435,20.001,232.8,116.68,105.818,78.479,933.443,0.217,4.01
1448,GU,Bank,24,10.313,7.33,8.831,247.51,41.35,34.7,28.42,992.4,0.058,4.01
1448,GU,Chute,7,8.756,0.005,17.697,61.295,22.529,0.335,33.052,157.701,0.014,2.573
1448,GU,Glide-Run,8,123.236,62.938,185.054,985.886,166.446,124.2,176.059,1331.571,0.233,1.351
1448,GU,Margin Attached Bar,44,30.35,8.18,42.468,1335.389,39.206,25.2,43.074,1725.061,0.316,1.292
1448,GU,Mid Channel Bar,3,24.467,11.9,30.461,73.4,24.4,17.6,21.81,73.2,0.017,0.997
1448,GU,Pocket Pool,1,2.41,2.41,NaN,2.41,7,7,NaN,7,0.001,2.905
1448,GU,Pond,1,4.81,4.81,NaN,4.81,11,11,NaN,11,0.001,2.287
1448,GU,Pool,11,55.12,35.05,78.138,606.32,54.364,40.6,61.309,598,0.143,0.986
1448,GU,Riffle,6,28.663,27.955,22.2,171.98,30.5,32.3,16.179,183,0.041,1.064
1448,GU,Transition,10,74.324,51.825,62.89,743.24,178.06,142.7,134.647,1780.599,0.176,2.396
1486,GU,Bank,5,100.256,42.44,118.979,501.28,251.48,127.2,274.275,1257.4,0.15,2.508
1486,GU,Glide-Run,3,534.857,85.4,818.457,1604.57,396.6,118.2,552.934,1189.8,0.481,0.742
1486,GU,Margin Attached Bar,7,53.589,25.96,63.166,375.12,85.371,47,86.994,597.6,0.112,1.593
1486,GU,Mid Channel Bar,1,51.28,51.28,NaN,51.28,100.2,100.2,NaN,100.2,0.015,1.954
1486,GU,Pocket Pool,3,1.77,1.78,0.305,5.31,7.133,6.6,1.286,21.4,0.002,4.03
1486,GU,Pool,12,32.635,10.75,52.98,391.62,33.833,19,34.6,406,0.117,1.037
1486,GU,Riffle,1,40.56,40.56,NaN,40.56,42,42,NaN,42,0.012,1.036
1486,GU,Transition,8,45.651,30.43,43.193,365.21,117.35,91.2,68.37,938.8,0.11,2.571
1494,GU,Bank,2,328.115,328.115,113.314,656.23,749.6,749.6,5.374,1499.2,0.155,2.285
1494,GU,Glide-Run,3,668.74,62.86,1100.501,2006.22,416.6,176,566.418,1249.8,0.475,0.623
1494,GU,Margin Attached Bar,9,62.012,37.38,58.292,558.11,98.267,94.8,74.039,884.4,0.132,1.585
1494,GU,Mid Channel Bar,1,3.27,3.27,NaN,3.27,8.6,8.6,NaN,8.6,0.001,2.63
1494,GU,Pocket Pool,1,1.67,1.67,NaN,1.67,7,7,NaN,7,0,4.192
1494,GU,Pool,9,61.704,40.41,68.579,555.34,53.667,42.6,45.62,483,0.131,0.87
1494,GU,Rapid,1,16.01,16.01,NaN,16.01,29.8,29.8,NaN,29.8,0.004,1.861
1494,GU,Transition,7,61.117,53.1,34.694,427.82,167.543,106.6,108.401,1172.8,0.101,2.741
1521,GU,Bank,10,264.028,67.42,342.851,2640.279,256.039,83.8,330.018,2560.394,0.124,0.97
1521,GU,Glide-Run,2,5189.17,5189.17,5193.352,10378.341,1477.491,1477.491,939.732,2954.983,0.486,0.285
1521,GU,Margin Attached Bar,7,491.653,201.94,622.99,3441.572,303.543,164,298.646,2124.8,0.161,0.617
1521,GU,Mid Channel Bar,4,10.125,9.865,4.38,40.5,14.35,14.8,3.065,57.4,0.002,1.417
1521,GU,Pocket Pool,5,5.318,4.6,1.467,26.59,11.24,9.6,2.643,56.2,0.001,2.114
1521,GU,Pool,10,186.887,83.445,234.664,1868.872,81.66,55.9,65.053,816.6,0.087,0.437
1521,GU,Riffle,2,363.14,363.14,258.944,726.28,274.1,274.1,227.264,548.2,0.034,0.755
1521,GU,Transition,6,374.752,424.696,274.577,2248.512,616.697,682.3,508.14,3700.182,0.105,1.646
1545,GU,Bank,14,4.023,3.655,3.046,56.32,25.743,21.099,17.314,360.402,0.093,6.399
1545,GU,Chute,2,8.06,8.06,4.016,16.12,30.4,30.4,12.445,60.8,0.027,3.772
1545,GU,Glide-Run,5,46.813,35.45,43.698,234.066,91.179,87.502,90.82,455.893,0.386,1.948
1545,GU,Margin Attached Bar,13,7.368,3.07,11.585,95.783,29.718,18.6,33.082,386.339,0.158,4.033
1545,GU,Mid Channel Bar,6,10.155,6.21,10.152,60.93,35.9,22.3,36.848,215.4,0.101,3.535
1545,GU,Pocket Pool,6,0.898,0.93,0.278,5.39,5.367,5.3,1.196,32.2,0.009,5.977
1545,GU,Pool,8,2.135,2.09,0.618,17.08,8.55,8,2.407,68.4,0.028,4.005
1545,GU,Rapid,3,10.867,9.4,4.878,32.6,28,21.2,14.09,84,0.054,2.577
1545,GU,Riffle,2,3.425,3.425,3.033,6.85,14,14,7.92,28,0.011,4.088
1545,GU,Transition,7,11.553,10.69,6.172,80.871,55.646,54.739,26.425,389.521,0.133,4.817
1549,GU,Bank,12,7.351,4.535,9.23,88.21,42.95,27,50.931,515.4,0.158,5.843
1549,GU,Glide-Run,2,97.84,97.84,128.792,195.68,213.299,213.299,256.678,426.598,0.351,2.18
1549,GU,Margin Attached Bar,11,8.813,4.64,8.94,96.94,29.8,27.4,20.052,327.8,0.174,3.381
1549,GU,Mid Channel Bar,1,0.01,0.01,NaN,0.01,0.383,0.383,NaN,0.383,0,38.3
1549,GU,Pocket Pool,5,0.726,0.65,0.196,3.63,4.64,4,1.322,23.2,0.007,6.391
1549,GU,Pond,1,2.17,2.17,NaN,2.17,7,7,NaN,7,0.004,3.226
1549,GU,Pool,5,4.998,3.8,3.677,24.99,15.92,11.6,7.981,79.6,0.045,3.185
1549,GU,Riffle,3,1.757,1.12,1.64,5.27,6.933,5.4,4.5,20.8,0.009,3.946
1549,GU,Transition,7,20.061,17.76,12.08,140.43,80.826,57.2,49.108,565.784,0.252,4.029
157,GU,Bank,9,4.56,3.7,3.614,41.04,38.2,31.6,27.833,343.797,0.088,8.377
157,GU,Cascade,1,14.64,14.64,NaN,14.64,27.602,27.602,NaN,27.602,0.031,1.885
157,GU,Glide-Run,5,7.291,4.43,4.516,36.456,22.802,19.67,6.516,114.008,0.078,3.127
157,GU,Margin Attached Bar,12,10.318,7.63,9.033,123.81,30.75,27.9,20.597,369,0.265,2.98
157,GU,Mid Channel Bar,5,7.224,2.04,10.42,36.119,24.305,8.8,31.541,121.526,0.077,3.364
157,GU,Pocket Pool,7,0.826,0.84,0.22,5.78,4.629,4.2,0.582,32.4,0.012,5.604
157,GU,Pool,4,3.59,3.445,2.07,14.36,10.75,11,3.263,43.001,0.031,2.994
157,GU,Rapid,6,19.944,9.395,18.806,119.662,39.606,29.454,23.639,237.635,0.256,1.986
157,GU,Riffle,3,3.203,3.4,1.465,9.61,10.4,11,3.143,31.2,0.021,3.247
157,GU,Transition,7,9.453,10.69,4.474,66.172,42.891,45.2,16.95,300.238,0.141,4.537
1587,GU,Bank,12,30.821,20.905,28.424,369.85,83.783,53.6,70.968,1005.4,0.108,2.718
1587,GU,Glide-Run,2,865.74,865.74,786.303,1731.481,453.672,453.672,294.825,907.345,0.508,0.524
1587,GU,Margin Attached Bar,11,58.92,44.99,61.634,648.12,80.164,95.2,60.468,881.8,0.19,1.361
1587,GU,Pocket Pool,10,2.457,2.485,0.764,24.57,8.7,8.1,3.154,87,0.007,3.541
1587,GU,Pool,6,13.892,10.815,6.896,83.35,20.6,19.5,6.673,123.6,0.024,1.483
1587,GU,Riffle,1,94.74,94.74,NaN,94.74,87.4,87.4,NaN,87.4,0.028,0.923
1587,GU,Transition,9,50.901,44.859,37.832,458.109,125.838,141.8,32.45,1132.545,0.134,2.472
1596,GU,Bank,13,63.933,50.66,51.865,831.13,119.815,82.4,87.829,1557.6,0.107,1.874
1596,GU,Glide-Run,7,346.973,367.88,239.29,2428.811,243.569,225.4,135.836,1704.982,0.314,0.702
1596,GU,Margin Attached Bar,8,153.861,144.82,140.682,1230.891,138.6,167.8,94.656,1108.8,0.159,0.901
1596,GU,Mid Channel Bar,3,104.29,6.35,171.894,312.87,144.733,12,230.594,434.2,0.04,1.388
1596,GU,Pocket Pool,2,3.235,3.235,0.7,6.47,9.8,9.8,1.414,19.6,0.001,3.029
1596,GU,Pool,12,54.11,28.07,55.657,649.321,43.333,32.1,31.417,520,0.084,0.801
1596,GU,Riffle,3,32.75,20.66,32.223,98.25,31.467,25.8,16.64,94.4,0.013,0.961
1596,GU,Transition,2,1093.224,1093.224,1479.358,2186.448,1141.291,1141.291,1433.293,2282.583,0.282,1.044
1602,GU,Bank,13,60.116,42.42,53.641,781.51,128.169,88.2,107.422,1666.2,0.108,2.132
1602,GU,Glide-Run,5,478.548,121.88,567.737,2392.74,342.56,147,347.976,1712.8,0.33,0.716
1602,GU,Margin Attached Bar,12,86.053,53.6,82.511,1032.64,115.167,104.4,80.578,1382,0.142,1.338
1602,GU,Mid Channel Bar,5,88.031,22.14,109.61,440.153,64.528,23,69.797,322.642,0.061,0.733
1602,GU,Pocket Pool,8,3.074,3.015,0.851,24.59,8.9,8.6,1.68,71.2,0.003,2.895
1602,GU,Pool,14,33.403,21.515,37.715,467.64,29.871,22.9,19.282,418.2,0.064,0.894
1602,GU,Riffle,1,10.94,10.94,NaN,10.94,18.4,18.4,NaN,18.4,0.002,1.682
1602,GU,Transition,2,1051.538,1051.538,1413.419,2103.077,1255.887,1255.887,1671.724,2511.774,0.29,1.194
1621,GU,Bank,15,5.247,3.79,4.522,78.7,31.227,23.6,25.566,468.4,0.155,5.951
1621,GU,Glide-Run,5,39.632,32.31,42.953,198.16,93.559,77.998,84.777,467.797,0.39,2.361
1621,GU,Margin Attached Bar,17,4.945,4.22,4.247,84.06,19.776,17,11.993,336.197,0.165,3.999
1621,GU,Mid Channel Bar,2,0.47,0.47,0.028,0.94,3.4,3.4,0.283,6.8,0.002,7.234
1621,GU,Pocket Pool,7,0.611,0.62,0.103,4.28,4.057,4,1.1,28.4,0.008,6.64
1621,GU,Pool,15,4.447,3.46,2.936,66.7,12.48,11,6.249,187.2,0.131,2.806
1621,GU,Riffle,5,5.62,5.77,5.36,28.1,12.64,15.4,8.094,63.2,0.055,2.249
1621,GU,Transition,7,6.826,6.76,2.79,47.78,27.171,25.8,12.467,190.2,0.094,3.981
1735,GU,Bank,15,12.844,6.24,18.029,192.66,59.226,27.201,77.239,888.386,0.092,4.611
1735,GU,Glide-Run,8,52.182,31.855,41.255,417.46,102.225,100.9,51.902,817.801,0.2,1.959
1735,GU,Margin Attached Bar,17,23.919,11.9,26.746,406.62,44.094,31.4,39.604,749.6,0.195,1.843
1735,GU,Mid Channel Bar,4,19.742,20.1,18.761,78.97,32.45,32.9,27.322,129.8,0.038,1.644
1735,GU,Pocket Pool,11,1.799,1.89,0.466,19.79,7.091,6.8,1.468,78,0.009,3.942
1735,GU,Pool,17,9.067,6.53,6.365,154.14,16.447,14.8,5.558,279.6,0.074,1.814
1735,GU,Rapid,3,41.45,38.949,14.137,124.349,63.4,60.2,13.879,190.2,0.06,1.53
1735,GU,Riffle,8,17.275,12.86,14.422,138.2,32.35,26.099,22.989,258.798,0.066,1.873
1735,GU,Transition,6,92.513,38.22,126.049,555.08,251.231,144.997,246.858,1507.389,0.266,2.716
1783,GU,Bank,5,270.166,364.95,170.719,1350.831,331.28,418.4,157.63,1656.401,0.135,1.226
1783,GU,Glide-Run,4,774.375,418.769,994.725,3097.501,383.8,215.5,471.421,1535.199,0.31,0.496
