"Unit","avg","sd","med","min","max","n","RScond"
"Bowl",11.2423529411765,3.21200001831368,11.26,4.72,16.27,17,"AFgood"
"Bowl Transition",5.75058823529412,3.28943093594514,5.97,0.62,12.11,17,"AFgood"
"Mound",23.6494117647059,3.22765292160619,25.08,18.18,29.59,17,"AFgood"
"Mound Transition",8.59882352941177,0.606773046049151,8.74,7.52,9.37,17,"AFgood"
"Plane",17.9170588235294,1.64129813221838,18.23,15.04,20.76,17,"AFgood"
"Saddle",6.690625,2.85772512965587,6.155,2.68,12,16,"AFgood"
"Trough",18.2976470588235,1.6000606606148,18.29,14.81,21.94,17,"AFgood"
"Wall",8.24764705882353,2.19013278539158,7.63,4.99,13.17,17,"AFgood"
"Bowl",12.4542857142857,2.08818786784824,12.58,9.86,15.79,7,"AFintact"
"Bowl Transition",4.96714285714286,2.09845748337292,5.66,1.5,7.44,7,"AFintact"
"Mound",22.8214285714286,2.98037150129213,22.59,18.45,26.03,7,"AFintact"
"Mound Transition",8.4,0.663726851448194,8.43,7.52,9.19,7,"AFintact"
"Plane",17.9,1.86887666794789,18.7,15.04,20.45,7,"AFintact"
"Saddle",6.61142857142857,3.20443145540374,5.61,2.68,10.26,7,"AFintact"
"Trough",18.15,1.00385921987764,18.29,16.77,19.42,7,"AFintact"
"Wall",8.68142857142857,2.54732819879594,8.33,5.96,13.17,7,"AFintact"
"Bowl",6.94692307692308,3.35573733729609,5.75,2.39,12.45,13,"AFmod"
"Bowl Transition",10.5638461538462,3.35534533359717,10.98,6.01,16.74,13,"AFmod"
"Mound",19.9561538461538,2.52721367801755,20.32,14.14,23.67,13,"AFmod"
"Mound Transition",8.79,0.722887727566782,8.9,7.42,9.95,13,"AFmod"
"Plane",19.3423076923077,1.11410018883816,19.81,17.64,20.76,13,"AFmod"
"Saddle",3.77818181818182,2.5143302017906,4.08,0.34,8.53,11,"AFmod"
"Trough",20.0638461538462,1.5358957129394,20.31,17.85,22.09,13,"AFmod"
