"Unit","avg","sd","med","min","max","n","RS"
"Bank",8.31882352941176,2.25126320749302,7.55,5.1,13.63,17,"AFgood"
"Cascade",0.98,NA,0.98,0.98,0.98,1,"AFgood"
"Chute",2.53285714285714,2.11899122450373,1.45,0.23,5.28,7,"AFgood"
"Glide-Run",26.5611764705882,7.00115872762586,25.39,18.86,41.95,17,"AFgood"
"Margin Attached Bar",21.0223529411765,5.60122367145315,21.51,11.13,31.56,17,"AFgood"
"Mid Channel Bar",3.75470588235294,4.00054545913282,2.45,0.08,13.19,17,"AFgood"
"Pocket Pool",0.228125,0.186054427520551,0.14,0.05,0.6,16,"AFgood"
"Pond",1.08,1.27762279253307,0.455,0.11,3.33,6,"AFgood"
"Pool",10.7958823529412,3.25769293140009,11.13,4.12,15.76,17,"AFgood"
"Rapid",2.43,2.30800057770068,1.36,1.12,5.88,4,"AFgood"
"Riffle",6.82,2.9369371801249,6.2,2.87,12.01,16,"AFgood"
"Transition",20.85,4.68840724553659,20.44,13.8,29.62,17,"AFgood"
NA,0.05,0.0141421356237309,0.05,0.04,0.06,2,"AFgood"
"Bank",8.57714285714286,2.67598402016725,7.55,6.55,13.63,7,"AFintact"
"Cascade",0.98,NA,0.98,0.98,0.98,1,"AFintact"
"Chute",2.8925,2.58012112118792,3.03,0.23,5.28,4,"AFintact"
"Glide-Run",26.3185714285714,5.31775462819735,27.17,19.11,32.97,7,"AFintact"
"Margin Attached Bar",17.74,4.49812183027539,17.46,11.13,23.8,7,"AFintact"
"Mid Channel Bar",5.80428571428571,4.64192796562972,4.82,0.54,13.19,7,"AFintact"
"Pocket Pool",0.161428571428571,0.140169964855596,0.12,0.05,0.45,7,"AFintact"
"Pond",0.3,NA,0.3,0.3,0.3,1,"AFintact"
"Pool",12.5957142857143,2.28961319253462,12.5,9.74,15.76,7,"AFintact"
"Rapid",1.145,0.0353553390593273,1.145,1.12,1.17,2,"AFintact"
"Riffle",6.83142857142857,3.4127087412173,5.62,2.87,11.3,7,"AFintact"
"Transition",19.7714285714286,4.635653239014,18.4,13.8,28.11,7,"AFintact"
NA,0.05,0.0141421356237309,0.05,0.04,0.06,2,"AFintact"
"Bank",11.5830769230769,1.7602622182286,11.59,8.49,14.46,13,"AFmod"
"Cascade",0.26,NA,0.26,0.26,0.26,1,"AFmod"
"Chute",1.91,2.26274169979695,1.91,0.31,3.51,2,"AFmod"
"Glide-Run",38.6638461538462,12.0983914484954,39.16,23.49,59.13,13,"AFmod"
"Margin Attached Bar",18.2146153846154,3.39148348903695,18.45,10.35,23.67,13,"AFmod"
"Mid Channel Bar",1.74818181818182,2.42647818115811,0.66,0.03,8.12,11,"AFmod"
"Pocket Pool",0.314615384615385,0.183512732737876,0.26,0.12,0.72,13,"AFmod"
"Pond",0.665,0.81570010829144,0.31,0.16,1.88,4,"AFmod"
"Pool",6.45384615384615,3.33627421550232,5.49,2.1,12.27,13,"AFmod"
"Rapid",2.1225,0.946198534487698,1.72,1.53,3.52,4,"AFmod"
"Riffle",3.82363636363636,2.56806258773914,4.08,0.34,8.84,11,"AFmod"
"Transition",18.8846153846154,8.58771080807202,16.34,8.68,29.62,13,"AFmod"
"Bank",12.6777777777778,1.99487152927216,12.925,6.67,15.53,18,"AFpoor"
"Chute",0.1,NA,0.1,0.1,0.1,1,"AFpoor"
"Glide-Run",42.0788888888889,10.5146379137618,43.365,23.49,59.13,18,"AFpoor"
"Margin Attached Bar",16.9283333333333,3.94440967028766,16.78,10.35,27.09,18,"AFpoor"
"Mid Channel Bar",1.51909090909091,2.41722342593917,0.66,0.03,8.12,11,"AFpoor"
"Pocket Pool",0.297647058823529,0.196231031305089,0.28,0.04,0.72,17,"AFpoor"
"Pond",0.07,NA,0.07,0.07,0.07,1,"AFpoor"
"Pool",7.35666666666667,3.94018213971355,5.875,2.1,13.2,18,"AFpoor"
"Rapid",1.6825,1.32318743948089,1.415,0.38,3.52,4,"AFpoor"
"Riffle",2.974,2.03329008541048,2.78,0.34,7.86,15,"AFpoor"
"Transition",16.89,7.99907200500011,13.53,8.16,29.54,18,"AFpoor"
NA,NA,NA,NA,Inf,-Inf,0,"AFpoor"
"Bank",12.686,3.429333754536,11.95,8.81,18.16,5,"CVgood"
"Cascade",8.052,7.53719576500438,4.92,0.58,18.7,5,"CVgood"
"Glide-Run",7.56,3.94444546165871,7.8,3.34,13.17,5,"CVgood"
"Margin Attached Bar",19.63,5.775668792443,20.5,11.21,26.47,5,"CVgood"
"Mid Channel Bar",2.384,3.10355119178015,1.22,0.09,7.72,5,"CVgood"
"Pocket Pool",1.126,0.373202357977545,1.24,0.72,1.48,5,"CVgood"
"Pool",3.252,1.99075864935959,3.08,0.96,5.84,5,"CVgood"
"Rapid",24.332,8.75962727517558,22.53,16.64,38.68,5,"CVgood"
"Riffle",3.342,2.17236507060853,2.71,0.75,5.72,5,"CVgood"
"Transition",17.666,4.35747977620092,16.31,13.29,22.29,5,"CVgood"
NA,0.09,NA,0.09,0.09,0.09,1,"CVgood"
"Bank",12.8083333333333,3.08189173506576,12.48,8.81,18.16,6,"CVintact"
"Cascade",8.052,7.53719576500438,4.92,0.58,18.7,5,"CVintact"
"Glide-Run",9.925,6.78279219790788,8.475,3.34,21.75,6,"CVintact"
"Margin Attached Bar",19.6633333333333,5.16656042901529,20.165,11.21,26.47,6,"CVintact"
"Mid Channel Bar",2.22166666666667,2.80423548702078,1.315,0.09,7.72,6,"CVintact"
"Pocket Pool",0.981666666666667,0.486226970320103,0.99,0.26,1.48,6,"CVintact"
"Pool",4.08666666666667,2.7111817841426,3.83,0.96,8.26,6,"CVintact"
"Rapid",22.5716666666667,8.94301384694593,20.385,13.77,38.68,6,"CVintact"
"Riffle",3.30333333333333,1.94532944939069,2.91,0.75,5.72,6,"CVintact"
"Transition",17.7733333333333,3.90630601293174,17.31,13.29,22.29,6,"CVintact"
NA,0.09,NA,0.09,0.09,0.09,1,"CVintact"
"Bank",13.655,3.06931588468831,12.48,11.5,18.16,4,"CVmod"
"Cascade",9.285,8.10003086413873,8.93,0.58,18.7,4,"CVmod"
"Glide-Run",7.5,4.55201786756892,6.745,3.34,13.17,4,"CVmod"
"Margin Attached Bar",17.92,4.99837973747493,18.885,11.21,22.7,4,"CVmod"
"Mid Channel Bar",1.05,0.989444288477123,0.875,0.09,2.36,4,"CVmod"
"Pocket Pool",1.0975,0.42460766204423,1.095,0.72,1.48,4,"CVmod"
"Pool",3.295,2.29604732819978,3.19,0.96,5.84,4,"CVmod"
"Rapid",24.0225,10.0831290612918,20.385,16.64,38.68,4,"CVmod"
"Riffle",3.66,2.37024611942867,4.085,0.75,5.72,4,"CVmod"
"Transition",18.5425,4.49390235022228,19.295,13.29,22.29,4,"CVmod"
NA,0.09,NA,0.09,0.09,0.09,1,"CVmod"
"Bank",11.934,1.45300722641011,11.95,9.75,13.46,5,"CVpoor"
"Cascade",6.2925,8.5008131963948,2.945,0.58,18.7,4,"CVpoor"
"Glide-Run",9.86,5.67890394354404,12.36,3.34,16.09,5,"CVpoor"
"Margin Attached Bar",21.164,3.20919460301179,20.5,17.27,25.73,5,"CVpoor"
"Mid Channel Bar",0.786,0.906824128483578,0.53,0.09,2.36,5,"CVpoor"
"Pocket Pool",1.21,0.511957029446808,1.45,0.6,1.78,5,"CVpoor"
"Pool",4.13,1.51006622371338,4.58,1.8,5.84,5,"CVpoor"
"Rapid",23.79,8.84684124419558,20.82,16.64,38.68,5,"CVpoor"
"Riffle",3.624,2.03789842730201,3.43,0.8,5.72,5,"CVpoor"
"Transition",18.524,6.48695460135185,16.31,12.78,27.95,5,"CVpoor"
"Bank",11.5925,1.22679460383554,11.065,10.82,13.42,4,"FCgood"
"Cascade",1.01,NA,1.01,1.01,1.01,1,"FCgood"
"Chute",1.41,1.17379725676967,1.41,0.58,2.24,2,"FCgood"
"Glide-Run",27.13,3.9020422003527,28.375,21.75,30.02,4,"FCgood"
"Margin Attached Bar",17.775,2.74775666074466,18.395,14.24,20.07,4,"FCgood"
