"RScond","Condition","RS","Bank","Cascade","Chute","Glide-Run","Margin Attached Bar","Mid Channel Bar","Pocket Pool","Pond","Pool","Rapid","Riffle","Transition","SUM"
"AFgood","good","AF",7.89457511627634,0.930021364991967,2.40368495645883,25.2065934662949,19.9502422221386,3.56322111209107,0.216490942743666,1.02492150427686,10.2453073899745,2.30607338462294,6.47218949922981,19.7866790409005,100
"AFintact","intact","AF",8.31783437063821,0.95037214827745,2.80505248866584,25.5228951715969,17.2036754188183,5.62880763622636,0.156548181859114,0.290930249472689,12.2149143314319,1.11038378548743,6.62489739513523,19.1736888223905,100
"AFmod","mod","AF",11.0690381451719,0.248461607986992,1.82523719713521,36.948005332101,17.4062793358697,1.67060025230414,0.300653247534555,0.63548834350519,6.16743458878952,2.02830678058611,3.65394938179471,18.0465457872208,100
"AFpoor","poor","AF",12.3595316251493,NA,0.0974897323631408,41.0225961591612,16.503386860207,1.48095766162553,0.290175321033819,0.0682428126541985,7.17199464418172,1.64026474700984,2.89934464047981,16.4660157961345,100
"CVgood","good","CV",12.6821953413976,8.04958512446266,NA,7.55773268019594,19.6241127661701,2.38328501449565,1.12566230130961,NA,3.25102469259222,24.3247025892232,3.34099770068979,17.6607017894632,100
"CVintact","intact","CV",12.6331120689372,7.94184658782684,NA,9.78922347046466,19.3943339218374,2.19127370044154,0.96823721647417,NA,4.03076002511828,22.2628805139383,3.25814289142921,17.5301896035323,100
"CVmod","mod","CV",13.6512459073755,9.28244732698508,NA,7.49793806703157,17.9150733548274,1.04971132938442,1.09719827047562,NA,3.29409412411587,24.0158956287021,3.6589937767114,18.537402214391,100
"CVpoor","poor","CV",11.7791629036318,6.21085826806627,NA,9.73207191468151,20.8894087223448,0.775802081636883,1.19430091447917,NA,4.07641551801568,23.4813378144293,3.57698059014258,18.283661272572,100
"FCgood","good","FC",11.369375996077,0.990560254995709,1.38286134608312,26.6078215030036,17.4328797351968,3.7857055289935,0.394752972906706,0.5982591639083,9.73151894078705,6.65440725757019,4.97977197499081,16.0720853254873,100
"FCintact","intact","FC",11.4345114345114,0.984277546777547,2.18295218295218,25.5002598752599,18.4706340956341,2.40059771309771,0.237136174636175,0.594464656964657,9.58939708939709,6.2662422037422,5.25597713097713,17.0835498960499,100
"FCmod","mod","FC",11.5640680455269,0.949700159099253,0.499326887773834,28.6623424305471,19.1286256272182,2.35956431281361,0.731856565903806,0.597234120670665,6.18406559784604,7.80075878105495,3.29090686574471,18.231550605801,100
"FCpoor","poor","FC",11.3937506180164,0.959161475328785,0.504301394245031,22.4339958469297,21.8184514980718,0.744091763077227,0.914664293483635,NA,4.23959260357955,13.3639869474933,2.2718283397607,21.3561752200138,100
"PCgood","good","PC",8.53072694998804,0.550683887659896,0.862575647042492,23.1051689561373,22.0314165970128,3.12297868444292,0.220627977517802,0.896688808224964,12.0435703336592,1.65692497172004,6.90385404883351,20.0747831377611,100
"PCintact","intact","PC",7.02781844802343,NA,3.77345933714894,29.1627845068548,14.8376148010116,9.83628377479036,0.129775056568614,0.299480899773726,10.4718487954213,NA,6.94462930919739,17.5163050712099,100
"PCmod","mod","PC",9.15692588485452,0.933727410926823,0.879736370158946,25.4930722200495,20.7305179768527,2.32479069659332,0.332008255219663,1.04329746424987,10.0110278533044,3.34807971632332,5.56278732255462,20.1840288289123,100
"PCpoor","poor","PC",12.8874789610635,NA,NA,41.0816905447394,16.0907741513956,0.839765178584522,0.287416720027764,NA,6.87388695268215,1.68800295889322,3.03791652206217,17.2130680105516,100
"WAgood","good","WA",6.91091034122976,NA,3.03288990064262,25.2951080126153,18.6953119442271,7.24099499656162,0.193497901401437,0.208674207393707,10.0049797254037,5.57729245215907,5.55452799317066,17.285812525195,100
"WAintact","intact","WA",6.78533926696335,NA,5.10025501275064,27.3363668183409,16.7308365418271,9.23046152307615,0.0850042502125106,NA,10.0455022751138,NA,5.26526326316316,19.4209710485524,100
"WAmod","mod","WA",8.95408403262135,0.949088635101706,0.460017450687052,24.8284907369318,21.8414902075082,2.36884775659059,0.388997212686244,0.242114447730027,10.982311349034,2.50830567848308,5.30161464972265,21.1746378429032,100
"WApoor","poor","WA",12.5737904986026,NA,0.0981895885488029,42.2607989114048,16.4964645611273,0.916436159788827,0.2624935000538,0.068732711984162,7.58698677018031,0.814973584955064,2.77876535593112,16.1423683574232,100
