"","Watershed","SiteName","Visit","Gradient","LWfreq","Braid","Sinuosity","Planform","Threads","Bedform","Substrate","Bldr","Cbl","Gvl","Sndf","bfw","bfd","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD"
"1","Asotin","ASW00001-NF-F2 P2",NA,2,29.48,1,1.17,NA,NA,NA,NA,8.31,35.47,40.11,10.17,10.29,0.38,NA,NA,NA,NA,NA
"2","John Day","CBW05583-007410",3432,NA,NA,NA,NA,"Sinuous","Single","Cascade","boulder",NA,NA,NA,NA,NA,NA,"CV","CV-Step Cascade","good",372422,4949001
"3","Tucannon","CBW05583-010495",2262,1,33.78034744,1.06,1.21,"Meandering","Single","Pool-Riffle","cobble",0.84,39.69,50.38,5.13,15.225,0.46,"UCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA
"4","Methow ","CBW05583-014169",4000,0.5645,4.191258425,1,1.09,"Wandering","Transitional","Plane-Bed","cobble-gravel ",4.34,47.96,28.515,13.95,22.915,0.66,"PCV","Low To Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",711510,5398655
"5","John Day","CBW05583-019570",3528,0.683,NA,1,1.06,"Sinuous","Single","Plane-Bed","cobble",3.25,36.35,25.13,34.27,11.48,0.54,"PCV","pcv_margin_controlled_dfp","good",296771,4915623
"6","Methow ","CBW05583-020761",1596,0.8635,70.39103905,1,1.03,"Wandering","Transitional","Plane-Bed","gravel",7.915,49.785,19.655,6.595,30.725,0.665,"UCV","low to moderate sinuosity wandering gravel-cobble bed","moderate",712169,5361026
"7","Lemhi","CBW05583-026031",916,0.606,5.32,1,1.08,"Sinuous","Single","Pool-Riffle","gravel",3.8,25.48,36.52,16.02,17.4,0.5,"PCV","PCV_LowSin_PlanControlled_DFP","moderate",NA,NA
"8","Lemhi","CBW05583-028079",NA,1,7.817298565,1.405,1.45,NA,NA,NA,NA,0.92,31.08,49.39,9.76,9.77,0.27,NA,NA,NA,NA,NA
"9","South Fork Salmon","CBW05583-030354",681,0.2005,15.81575434,1,1.945,"Meandering","Single","Pool-Riffle","gravel",2.425,7.24,65.14,23.715,10.8,0.54,"UCV","ucv_meandering_gravel_bed","good",585656,5010605
"10","John Day","CBW05583-030730",806,2,13.39237865,1,1.045,"Straight","Single","Pool-Riffle","cobble",9.78,32.89,43.215,10.505,6.52,0.265,"PCV","low sinuosity margin-controlled gravel bed","good",352245,4942696
"11","John Day","CBW05583-032778",372,1,1.194243745,1.25,1.11,"Wandering","Transitional","Pool-Riffle","cobble",6.35,26,35.13,11.3,7.4,0.2,"PCV","pcv_planControlled_dfp","moderate",341041,4930770
"12","Methow ","CBW05583-036697",1521,0.528,6.562002723,1,1.05,"Sinuous","Single","Plane-Bed","cobble-gravel ",10.72,52.12,25.52,8.72,33.94,0.76,"PCV","Low To Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",710714,5395006
"13","Lemhi","CBW05583-038111",3501,0.6635,11.84490313,1.39,1.185,"Wandering","Transitional","Plane-Bed","gravel-sand",2.605,28.505,36.11,25.145,18.555,0.52,"UCV","UCV_LowSin_Sand_Bed","moderate",NA,NA
"14","South Fork Salmon","CBW05583-045010",2051,1,145.6117775,1.125,1.09,"Wandering","Transitional","Step-Pool","gravel-sand",0.315,11.485,60.095,20.32,7.775,0.46,"UCV","ucv_lowSin_grave_bed","good",591133,5015244
"15","Entiat","CBW05583-055979",3979,0.774,156.09,1.93,1.16,"Anabranching","Multi","Pool-Riffle","gravel",10.25,43.95,31.5,6.69,45.55,0.7,"PCV","Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",684190,5314041
"16","Lemhi","CBW05583-080335",1027,1,0.98,1,1.09,"Sinuous","Single","Pool-Riffle","gravel",2.055,38.59,42.325,14.82,8.87,0.35,"PCV","pcv_lowSin_planControlled_dfp","good",NA,NA
"17","Lemhi","CBW05583-093023",1545,3,1.553269367,1.275,1.07,"Wandering","Transitional","Plane-Bed","cobble",5.275,38.13,51.275,5.475,6.06,0.175,"CV","cv_occ_fpp","moderate",NA,NA
"18","Wenatchee","CBW05583-095403",3466,0.104,53.46,1,1.23,"Meandering","Single","Pool-Riffle","gravel",0,2.37,60.62,36.09,46.52,1.21,"UCV","ucv_meandering_gravel_bed","good",658612,5305627
"19","Upper Grande Ronde","CBW05583-108010",2014,1,43.91475041,1,1.395,"Meandering","Single","Pool-Riffle","gravel",0.545,25.545,51.755,17.15,6.505,0.285,"UCV","ucv_lowSin_gravel_bed","good",NA,NA
"20","Entiat","CBW05583-128427",1621,1,121.7244294,NA,1.54,"Meandering","Single","Pool-Riffle","boulder",11.3,3.16,39.47,45.4,4.35,0.4,"CV","Confined Valley Step Cascade","intact",688751,5316707
"21","Entiat","CBW05583-132779",NA,1,94.7,2.32,1.09,NA,NA,NA,NA,29.11,20.71,17.72,21.39,35.72,0.62,NA,NA,NA,NA,NA
"22","Entiat","CBW05583-141995",3983,2,52.39,1,1.07,"Sinuous","Single","Plane-Bed","boulder",30.17,37.1,23.81,8.49,13.92,0.55,"CV","cv_occ_fpp","intact",687555,5297482
"23","South Fork Salmon","CBW05583-162079",685,0.2585,9.684959799,1,1.065,"Sinuous","Single","Pool-Riffle","gravel-sand",1.305,26.61,53.23,17.83,19.745,0.625,"PCV","pcv_margin_controlled_gravel_bed","good",593334,5009518
"24","Tucannon","CBW05583-170443",NA,1,81.505,1.72,1.13,NA,NA,NA,NA,2.03,21.36,34.75,10.52,25.08,0.57,NA,NA,NA,NA,NA
"25","Lemhi","CBW05583-170447",920,2,15.13317191,NA,1.08,"Sinuous","Single","Step-Pool","cobble-boulder",13.31,26.15,40.23,9.86,6.44,0.43,"CV","cv_boulder_bed","good",NA,NA
"26","South Fork Salmon","CBW05583-181535",2056,1,32.4000676,1,1.025,"Straight","Single","Plane-Bed","cobble-boulder",24.535,28.92,25.265,9.24,16.925,0.785,"CV","pcv_margin_controlled_boulder_bed","good",597497,4990599
"27","Methow ","CBW05583-189385",2546,0.1985,4.396369641,1,1.22,"Sinuous","Single","Pool-Riffle","cobble-gravel ",11.035,40.65,36.505,3.925,67.02,1.12,"UCV","ucv_wandering_cobble-bed ","moderate",716504,5304859
"28","John Day","CBW05583-189938",NA,2,17.05653021,1,1.09,NA,NA,NA,NA,5.42,42.43,37.61,4.8,6.12,0.22,NA,NA,NA,NA,NA
"29","Lemhi","CBW05583-193375",22,2,9.418412997,1.14,1.22,"Wandering","Transitional","Pool-Riffle","cobble-gravel ",0,9.77,66.63,19.57,4.29,0.24,"PCV","pcv_planControlled_dfp","good",NA,NA
"30","Lemhi","CBW05583-197071",547,0.865,NA,NA,1.86,"Meandering","Transitional","Plane-Bed","gravel-sand",1.72,8.08,39.57,36.32,2.81,0.23,"UCV","ucv_meandering_gravel_bed","good",NA,NA
"31","Upper Grande Ronde","CBW05583-199103",85,3,6.600037715,1,1.05,"Sinuous","Single","Plane-Bed","gravel",3.29,39.05,37.58,5.83,3.63,0.22,"CV","cv_cobble_bed","moderate",NA,NA
"32","South Fork Salmon","CBW05583-206111",NA,8.5,91.19709949,1.21,1.115,NA,NA,NA,NA,24.3,15.7,23.38,22.51,7.85,0.595,NA,NA,NA,NA,NA
"33","John Day","CBW05583-207602",665,0.6935,2.47,1,1.005,"Straight","Single","Plane-Bed","cobble",7.74,36.005,42.445,10.245,5.62,0.33,"PCV","pcv_marginControlled_dfp","poor",379895,4938931
"34","Tucannon","CBW05583-214911",4179,1,12.77880714,1.19,1.07,"Wandering","Transitional","Plane-Bed","cobble-boulder",15.93,37.04,28.59,7.33,15.26,0.405,"PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","good",NA,NA
"35","South Fork Salmon","CBW05583-215442",686,0.297,0.64441294,1,1.39,"Sinuous","Single","Pool-Riffle","gravel-sand",1.53,13.24,54.99,27.9,8.64,0.57,"UCV","ucv_meandering_gravel_bed","intact",583154,5018021
"36","John Day","CBW05583-219122",3512,0.737,9.61,1.45,1.07,"","","","cobble-boulder",5.31,23.94,36.41,17.49,15.28,0.37,"PCV","pcv_bc_elongate_dfp","good",372609,4943093
"37","John Day","CBW05583-232818",820,0.402,11.82685485,1.07,2.17,"Meandering","Single","Plane-Bed","cobble-gravel ",0,0,25.57,71.46,3.82,0.26,"PCV","pcv_meandering_planControlled_dfp","good",317371,4904025
"38","Upper Grande Ronde","CBW05583-235322",2019,0.8,13.097752,1.4,1.24,"Wandering","Transitional","Pool-Riffle","cobble-gravel ",5.28,29.72,39.44,10.86,15.04,0.4,"PCV","pcv_margin_controlled_dfp","good",NA,NA
"39","South Fork Salmon","CBW05583-241618",2060,1,15.025,1,1.08,"Sinuous","Single","Plane-Bed","cobble-gravel ",29.745,33.37,30.46,5.06,18.675,0.715,"PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154
"40","Tucannon","CBW05583-248063",2265,1,23.29138566,1,1.08,"Wandering","Transitional","Plane-Bed","cobble-gravel ",8.31,41.58,61.14,6.19,16.72,0.46,"PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA
"41","Upper Grande Ronde","CBW05583-280042",2021,0.6075,27.14157185,1,1.09,"Sinuous","Single","Pool-Riffle","cobble-gravel ",2.15,30.465,42.925,23.58,7.07,0.42,"UCV","UCV_LowSin_Gravel_Bed","moderate",NA,NA
"42","Wenatchee","CBW05583-314219",4086,0.191,8.51,1,1.08,"Sinuous","Single","Pool-Riffle","cobble-gravel ",0,36.53,56.93,6.44,40.05,0.83,"PCV","pc_lowSin_wandering_cobble_bed","good",653017,5301820
"43","Lemhi","CBW05583-315823",1587,1,17.70494503,1,1.09,"Sinuous","Single","Plane-Bed","cobble-gravel ",16.75,35.5,37.23,6.84,14.1,0.4,"PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA
"44","South Fork Salmon","CBW05583-317074",2061,0.342,97.52778408,1.22,1.52,"Wandering","Transitional","Pool-Riffle","gravel ",0,8.94,46.8,43.96,11.11,0.61,"UCV","ucv_meandering_gravel_bed","moderate",584393,5013154
"45","Tucannon","CBW05583-339839",1486,0.805,5.606050639,1,1.02,"Straight","Single","Plane-Bed","cobble",8.38,33.245,47.26,7.605,12.7,0.475,"PCV","pcv_lowSin_marginControlled_dfp","poor",NA,NA
"46","John Day","CBW05583-345970",3161,5,50.39,1,1.09,"Sinuous","Single","Rapid","cobble-boulder",4.07,11.86,42.87,24.91,3.24,0.33,"CV","cv_gravel_bed","good",311310,4908726
"47","Lemhi","CBW05583-353711",2271,7,0.81,1.39,1.18,"Sinuous","Single","Plane-Bed","cobble-gravel ",6.85,17.82,54.35,8.56,5.68,0.16,"UCV","cv_gravel_bed","good",NA,NA
